RotaID,Origem,Destino,Distancia,TempoEstimado,RestricoesTrafego
109,Breannastad,Aguilarview,299.96,01:00:00,Might then prepare key huge trip doctor.
110,Kristinafurt,North Johnmouth,794.66,03:00:00,Raise heart red important like nearly.
111,East Danielview,Normaton,154.23,02:00:00,Realize natural painting discover.
112,Sherristad,Reedville,327.72,02:00:00,Magazine forward tree meet only herself process.
113,Brandonmouth,North Steven,428.46,04:00:00,Deal well contain family.
114,Chapmanfort,Lake Mark,755.38,01:00:00,Sign put baby successful add not develop.
115,West Johnfurt,North Deanna,221.3,04:00:00,Area role culture knowledge thought several agreement.
116,North Jennifer,Tinaview,994.89,01:00:00,Bring six far debate would.
117,Nathanland,West Kimberlychester,363.81,03:00:00,Stock major mother either feeling ask despite production.
118,West Melissaborough,West Russell,349.56,02:00:00,Service cell bad laugh type easy bit.
119,Lopezland,South Susan,608.6,01:00:00,Ask each keep prepare see they.
120,South Timothyfort,South Katrina,471.89,02:00:00,Market language marriage hope.
121,Scottberg,Jacquelinefort,946.83,02:00:00,Anything eight they life training type allow military.
122,New Virginia,West Christopher,118.9,03:00:00,Probably allow social check strong effect bank hotel.
123,Brandonshire,Harrisburgh,801.18,02:00:00,Section arm sure physical bank success perhaps cost.
124,Andrewsberg,Lake Brett,499.89,01:00:00,Source drive rich economy else shoulder.
125,Lawsontown,West Susan,383.62,03:00:00,Science front year so stock.
126,New Olivia,Christopherport,152.86,03:00:00,Black sport scene key stop each treatment.
127,Davenportmouth,East William,474.18,02:00:00,Nearly full thus collection onto worry.
128,Donnaport,New Johnnyton,961.69,01:00:00,Information almost help talk window.
129,South Dakota,East Hectorview,850.75,03:00:00,Last pressure wish music land.
130,East Raymondburgh,West Stephanie,339.68,03:00:00,Enough southern past prevent scientist will provide.
131,Reginahaven,New Darrylburgh,161.74,05:00:00,Son people daughter doctor.
132,Schroederview,Lake Robert,942.29,04:00:00,Tax picture Congress specific remain attention natural.
133,New Kristen,Mccarthybury,315.55,01:00:00,Apply security interest standard prevent clear nice.
134,Michaelchester,Smithstad,414.93,03:00:00,Bar small method traditional ground from law modern.
135,Kimchester,West Kevinhaven,900.4,01:00:00,Source short himself discuss free investment any.
136,Nancymouth,Port Nataliefort,209.46,01:00:00,Room treatment Mr hour life cost similar.
137,East Willie,Katherineland,302.54,04:00:00,Suggest remain east enough tonight rock.
138,New Jennifershire,Jessicamouth,301.86,05:00:00,General agency animal ground.
139,New Robertbury,East Jason,514.95,02:00:00,Seek hair issue whether catch form officer hundred.
140,Jamesburgh,New Sabrina,690.15,01:00:00,Reality growth character new.
141,Singletonberg,West Joshuafurt,941.35,05:00:00,Nice national order in.
142,West Danielshire,Lopezside,132.38,02:00:00,Green court affect despite administration.
143,South Feliciaburgh,Whitneychester,829.61,03:00:00,Forward live walk sing range fund special.
144,East Angelica,Ryanview,633.36,02:00:00,Those design off their spring ask.
145,New Mary,Burnettburgh,517.78,01:00:00,Thousand magazine these party.
146,South Karamouth,Jameston,287.86,03:00:00,Man impact street support.
147,New Lindsay,Port Kathy,887.06,05:00:00,Much rather until miss hundred home forget.
148,South Zacharyshire,South Michaelmouth,355.65,04:00:00,Drop home month small have.
149,North Nicole,Port Samuel,460.06,03:00:00,Bill set believe customer the.
150,South Anneview,Dillonmouth,448.41,01:00:00,Hope career Congress step ahead discussion.
151,South Amanda,East Tracychester,559.58,01:00:00,Seek author begin for.
152,Josephfurt,North Edwardshire,892.96,04:00:00,Power question win whose option listen spend half.
153,Robertton,East Michellebury,822.2,02:00:00,Story focus she research arm.
154,Crystalmouth,Jasonstad,776.54,03:00:00,Republican thus adult.
155,Sydneyberg,East Jason,745.8,05:00:00,Again exist either keep.
156,North Gregory,Samuelhaven,550.42,05:00:00,Page policy really wall office mother whose.
157,Port Adrianborough,Carolinefort,136.74,04:00:00,Cup full friend yet.
158,West Wendyfort,Sarahtown,577.29,05:00:00,First technology war position rate citizen beautiful attention.
159,Walkerberg,West Adam,819.55,01:00:00,Exist grow civil happy especially political stuff.
160,South Coltonstad,Paulburgh,262.28,01:00:00,Management region sense allow interesting movement college.
161,Anthonyborough,Michaelton,343.82,03:00:00,Keep describe institution wrong respond action dream.
162,Port Matthew,Port Mark,945.06,04:00:00,Despite stop account TV.
163,Scottbury,Port Danielview,424.81,02:00:00,Meeting charge agreement would across trouble.
164,South Seth,South Justin,551.97,01:00:00,Room whose could likely allow discussion herself.
165,East Jennifer,Craigfort,981.15,02:00:00,Responsibility performance nearly movement image according eat learn.
166,Woodsfort,Lake Wendy,521.81,05:00:00,Indeed within green past.
167,Simpsonville,Christineside,542.09,02:00:00,Common director structure staff figure page fly.
168,West Dariusland,South Ericton,903.92,05:00:00,Eat he Mr once might.
169,New Bruce,South Clintonshire,656.87,04:00:00,Call size give plant gas.
170,New Valeriefurt,Michelleburgh,738.53,02:00:00,Morning learn ago manage.
171,Mcgeeborough,North Gary,875.76,04:00:00,Long citizen indicate quite carry minute.
172,Michaelview,East Bethany,473.67,05:00:00,Agency science study similar hotel.
173,Rubenton,East Davidburgh,714.95,03:00:00,Imagine hotel bag air whatever effort.
174,Mcdonaldchester,Alisonfort,557.03,04:00:00,Go read experience best our now.
175,Debrashire,New Collinborough,533.46,02:00:00,Develop new subject result ever since.
176,East Davidmouth,Youngfort,933.99,01:00:00,Get expert state big interesting.
177,Blackmouth,Kelseyhaven,731.13,01:00:00,Language art physical statement across.
178,Jeffreyport,East Elijah,981.58,04:00:00,Attack its federal such indeed study.
179,Davidton,Port Jerome,735.18,04:00:00,Soon affect he research.
180,Dianeview,North Jasminestad,165.61,05:00:00,Quickly mouth same growth fact hold anything.
181,East Jacquelineport,Lake Amandatown,908.12,01:00:00,Close design positive politics necessary.
182,North David,Gregoryshire,767.31,04:00:00,Season country resource feeling.
183,Jacksonshire,Lake Carolfort,774.77,05:00:00,Sure school increase product wait young really.
184,Josechester,Goodwinhaven,304.15,01:00:00,Garden than executive sometimes.
185,Port Lawrence,Travisstad,822.69,05:00:00,Black light finally and wall information.
186,Michaelport,Josephchester,167.73,02:00:00,For single necessary particular history apply actually.
187,Lake Philipburgh,Brewerton,809.4,01:00:00,Share indicate guy of.
188,North Kevin,Troymouth,872.42,05:00:00,Nearly none everything week.
189,South Samanthaburgh,Lake Christopherstad,831.44,02:00:00,Mean serious property official member.
190,Justinmouth,Lauraborough,287.53,05:00:00,Several place buy number argue north list.
191,Andersonchester,West Thomasfurt,417.31,03:00:00,Hold become young public.
192,South Tina,Lake Johnburgh,880.74,03:00:00,National base sing sell property no instead.
193,Port Rogermouth,Sharonville,668.29,02:00:00,Say than kid who grow subject report.
194,Port Williamstad,Mistyberg,364.35,03:00:00,White that everyone cultural.
195,New Samanthaburgh,Port Susan,443.63,02:00:00,Allow collection door.
196,Cordovahaven,North Carla,533.56,03:00:00,Section recently agreement investment hospital.
197,Blakeshire,West Misty,897.28,04:00:00,Parent outside soldier sort skill process close.
198,Youngburgh,Port Zacharyburgh,480.14,01:00:00,Conference response first degree other.
199,Mikefort,New Joshua,937.61,01:00:00,Financial current stuff.
200,Campbellfurt,New Ashleyton,210.69,05:00:00,Begin story yes hour camera citizen director.
201,North Peter,Port Oliviaburgh,957.45,05:00:00,Officer need discuss option view.
202,New John,Hurstshire,265.73,04:00:00,Dog eight professor option.
203,New Chasefort,Lake Pedro,273.97,05:00:00,Old or get skill marriage shake police.
204,East Cheryltown,Kimton,274.63,03:00:00,Realize certain price table technology base.
205,Harristown,Michaelville,707.66,05:00:00,Far way later list structure page.
206,Johnberg,Jacobport,721.07,04:00:00,Goal word book create democratic remember.
207,Richardsonfort,Harrellfort,154.97,02:00:00,Few choice fast executive later until.
208,Jenkinsmouth,North Alex,958.87,04:00:00,Get single owner assume cover dinner.
209,South Nicole,New Jose,575.8,03:00:00,Relationship good show.
210,New Jasmine,Port Michaelstad,388.13,03:00:00,Get unit list manager some speak food.
211,South Jessemouth,Martinport,875.56,01:00:00,Smile lawyer decide light impact pick.
212,Lake Anthony,Allenbury,379.15,04:00:00,Idea rather station.
213,North Travisburgh,New Shannonfurt,434.31,01:00:00,Term word investment anyone him.
214,Freemanville,Port Heidi,419.36,01:00:00,Special who sit us paper cut TV.
215,New Sandraport,Gallagherbury,171.36,05:00:00,Traditional marriage according thought development customer system cold.
216,South Rachelborough,Port Erichaven,967.93,03:00:00,Politics first good international.
217,East Brandonmouth,West Mark,926.98,02:00:00,Maybe end pattern she.
218,Joshuaburgh,New Shawn,812.67,05:00:00,President serious or push pull better purpose break.
219,Lake Williammouth,Port Sheila,298.7,02:00:00,Listen somebody that answer.
220,Rodriguezfurt,Jenniferside,929.31,01:00:00,Just Republican certainly whether.
221,Schroederport,West Joseph,583.39,02:00:00,Practice appear wide investment same.
222,Lake Heathermouth,Stevenbury,178.06,04:00:00,Drive view into much write us ball.
223,Jeannemouth,West Bruceshire,239.55,04:00:00,Difference baby brother can condition career.
224,Jonesside,Amberbury,367.83,04:00:00,Someone standard party event team group.
225,Pamelashire,Amandamouth,392.84,04:00:00,Either very former shake society.
226,Christopherburgh,West Amyfurt,799.61,04:00:00,End cover action office discover top picture.
227,New Mary,Elizabethside,934.03,04:00:00,Agent however after weight along.
228,Davischester,Mejiaton,662.2,04:00:00,Book as tough teacher lead respond.
229,Robertland,East Katherinefort,580.61,03:00:00,Call top among everything.
230,East Melissa,East William,167.73,04:00:00,Clearly system why kid join job must.
231,Jonathanport,West Ronald,444.64,04:00:00,Artist traditional order avoid.
232,Lake Teresaville,Susanview,188.2,03:00:00,Tonight program identify first.
233,Masonhaven,South Nicholas,396.49,02:00:00,Save trade bad center store course often.
234,Lake Brianhaven,Laurenport,713.53,04:00:00,Bad history agree section act face ground.
235,Williamsburgh,Rollinsshire,195.34,01:00:00,Agent put local official.
236,East Kelseyville,Port Jameshaven,152.23,02:00:00,Thousand push assume president.
237,Lake Holly,South Rhonda,883.45,05:00:00,I care pressure collection director.
238,Adambury,Andreatown,339.67,04:00:00,Whole defense boy this condition.
239,West Anthonyport,New Aliciaton,285.43,02:00:00,Billion man able region marriage side.
240,North Jonathanberg,Williamfort,940.41,05:00:00,Professional color computer.
241,Andrewbury,Tylerstad,367.01,04:00:00,Week medical across item network involve Republican future.
242,Terrymouth,Wolfebury,991.65,05:00:00,Financial much simply director establish machine body.
243,Brookeshire,Schmidtburgh,934.31,01:00:00,Film wrong stuff prove.
244,New Meghan,Castroport,353.93,05:00:00,Hope war democratic threat.
245,Michaelmouth,Kevinton,978.34,01:00:00,Office can red possible policy statement sing.
246,West Brianfurt,Zavalamouth,922.15,04:00:00,Sing member idea yet.
247,New Scott,South Jonathanberg,842.82,04:00:00,Open simple should culture today attack draw.
248,Michaelland,Jamestown,358.62,03:00:00,With actually which we way.
249,Williamsmouth,North Edwardhaven,359.0,02:00:00,Available box process each.
250,Grosshaven,Nicolechester,966.71,03:00:00,Way any ago foot style opportunity.
251,East Jacobbury,Vincentmouth,657.32,04:00:00,Safe hope mean age by market.
252,Port Ryanfurt,Cassieberg,148.36,04:00:00,Crime let enjoy.
253,Edwardsport,Orrmouth,501.36,02:00:00,Parent toward clearly way art my participant.
254,Boydland,New Tyler,948.55,05:00:00,Mr really after left if may.
255,West Amber,Port Joshuafort,270.79,02:00:00,Wife recognize per Congress very although.
256,North Kevinmouth,Lake Josephville,515.84,03:00:00,Thank water financial sit.
257,New Bethanyshire,Johnside,705.33,04:00:00,House out this exactly reflect part.
258,Lake Janet,East Sherryton,393.65,02:00:00,Check agency claim.
259,Colemanshire,New Brandon,415.11,02:00:00,Unit of water than daughter turn save.
260,Vanghaven,East Davidview,788.36,05:00:00,Would especially dog really.
261,Christinaland,East Carolineborough,154.04,01:00:00,Turn time tough study.
262,New Jackiehaven,New Ann,223.31,01:00:00,Record those really glass still he.
263,Prattmouth,Jenniferville,761.55,03:00:00,Mrs teacher within take.
264,Seanburgh,Brownfurt,126.84,04:00:00,Again sing plant challenge quickly.
265,Charleschester,New Martha,678.82,03:00:00,Line population authority professor.
266,Alejandrostad,Campbellmouth,177.12,02:00:00,Loss skill charge weight him strategy.
267,West Rebecca,Port Jennifertown,386.67,02:00:00,Wind along management against artist power.
268,Dickersonbury,Patriciabury,652.71,04:00:00,Scientist imagine note owner miss degree.
269,Sandersfurt,Josehaven,596.53,04:00:00,Under receive democratic three defense.
270,Johnsonview,Greenville,729.49,03:00:00,Project mean soon hand key.
271,Martinezfort,Jeanton,886.82,03:00:00,Enough make spring usually yes.
272,Heatherview,West Jamesstad,182.92,02:00:00,If option land federal north rather play.
273,Lake Hector,Emilymouth,501.79,02:00:00,Entire song put former she alone protect.
274,Lake Adam,South Tracystad,533.94,02:00:00,Figure contain medical modern help.
275,Baileyland,Sherryfurt,428.52,05:00:00,Able technology must education mean.
276,Ronaldfort,West Annberg,980.73,02:00:00,Matter class father whom along.
277,Mistyberg,Port Nathan,266.41,04:00:00,Name under play oil director forward.
278,Williamsonside,Danielside,837.12,05:00:00,Theory understand bar lead operation.
279,New Laura,Vasquezview,735.21,03:00:00,Nice century job society.
280,Forbesbury,Johnsonburgh,247.97,04:00:00,System show trip see.
281,Danabury,New Angela,629.86,01:00:00,Buy much century them.
282,Lake Matthewview,West Billfort,925.3,04:00:00,Upon region our color office tax.
283,Leachbury,Coxport,197.93,03:00:00,Above risk leader action certain focus firm assume.
284,Lake Tracy,Kristenborough,891.76,03:00:00,Brother pick late machine player.
285,Lewisville,New Kaylashire,555.01,03:00:00,Suggest do bed nature science.
286,North Terrencetown,Jessefurt,185.04,04:00:00,Loss rather seat hand hospital miss machine.
287,Jameschester,Singhview,533.55,05:00:00,Including factor hair against child people.
288,South Robert,West Debrabury,612.11,03:00:00,After identify open bank third tax today front.
289,Snowbury,East Matthew,834.66,02:00:00,Campaign environment I theory walk day reality.
290,South Joshua,West Madison,536.58,02:00:00,Use require push last beyond debate Congress us.
291,North Kenneth,Sarahbury,782.8,01:00:00,As scene think drive note allow television.
292,Levinemouth,Farrellstad,344.58,03:00:00,Person bed start.
293,Margaretborough,Pierceport,872.86,01:00:00,Choice worker at take move.
294,Fitzgeraldshire,South Lance,581.51,02:00:00,Recognize director us recent how enter decade.
295,East Heatherville,Lake Stacey,301.86,01:00:00,Manage tell program stay lay plant.
296,West Katelyn,New Mariaborough,886.61,05:00:00,Sell fund whom cost education.
297,Mariafurt,Erinton,596.94,03:00:00,Wall here treatment hotel owner this run improve.
298,North Michaelton,North Melissa,492.25,04:00:00,Top participant phone rest produce else.
299,Brownhaven,Debrabury,243.56,02:00:00,Democrat school goal however south writer.
300,Mitchellfurt,Robertsonborough,446.29,05:00:00,Particular identify later debate item every want.
301,Oliviaport,Brownstad,528.65,04:00:00,Fly rate read local learn.
302,Lake Gregoryberg,Codyborough,360.43,04:00:00,Laugh consider forget wear view win usually.
303,East Peterborough,Lake Jenniferberg,525.22,04:00:00,Into reveal use sit site.
304,Chapmanland,Juliehaven,763.95,04:00:00,Issue former bag popular force rise.
305,Port Justin,Nathanielburgh,934.38,02:00:00,Memory appear capital own.
306,Reeseton,Annetteberg,928.51,04:00:00,Store however accept space born find us image.
307,North Ericland,East Linda,542.98,01:00:00,Movie sister Congress teach particular after maybe challenge.
308,Wilkinsside,Tiffanyland,974.59,04:00:00,Could system Mr voice hand start majority improve.
309,New Chad,New Katherineberg,542.62,02:00:00,Always wide political security but opportunity.
310,East Robertside,Port Georgeshire,171.07,02:00:00,Must store responsibility wide feeling of.
311,West Alexander,Gonzalesville,179.67,03:00:00,Go media lose enter easy.
312,Donnaberg,Lake Dana,739.75,03:00:00,Road for already night south.
313,South Nicole,Ortegaville,172.49,05:00:00,Shake late exist great example ahead edge.
314,Williamsstad,East Debraland,903.26,05:00:00,Nation time feeling response remain some sort.
315,Lake Kenneth,Lake Kayla,877.62,05:00:00,Type property fine between.
316,Lopezberg,Melissaville,703.67,03:00:00,Happen whatever ok action establish public.
317,South Carolyn,Bethland,299.22,02:00:00,Bill music indicate to.
318,Nancychester,East Jennifer,906.48,02:00:00,Majority manage card wish left.
319,Halefort,West Davidburgh,916.67,05:00:00,My stay short to tend interest.
320,Mercadoview,Katherineborough,600.37,03:00:00,Become hundred pull college society.
321,Lake Jennifer,East Courtneychester,577.27,05:00:00,Image organization drug then effort property make strategy.
322,New Dianamouth,East Kathleen,637.58,04:00:00,Must traditional goal.
323,Patriciaburgh,Smithville,368.44,01:00:00,Through full knowledge throughout feeling.
324,East Nicholastown,South Eric,384.14,03:00:00,Join stay situation among prove Democrat long.
325,East Amy,North Jessicaland,861.52,03:00:00,Activity really find professional fine power.
326,Amyhaven,South Arthurland,119.36,05:00:00,Summer candidate north draw.
327,Bakerside,Allisonview,216.94,03:00:00,No attorney accept also police.
328,Lake James,North Martinfurt,968.49,02:00:00,They behavior give poor go generation skill.
329,Jenniferchester,Lake Erica,388.39,02:00:00,My generation own west society from soldier body.
330,Walkerville,East Margaretbury,997.8,05:00:00,Protect eye animal nearly hair who.
331,Lake Howardborough,New Ricky,543.31,03:00:00,Discover mission professional health.
332,Meaganbury,Lake Walter,638.2,01:00:00,Into force many high leg you.
333,Port Jenniferborough,Jensenton,954.05,01:00:00,Office risk to some agree today politics value.
334,Stephenland,Hamiltonfurt,846.78,03:00:00,Citizen PM trade fund indeed history.
335,Petersonport,Mariachester,885.08,02:00:00,Five speak economic how tonight every everything.
336,Sarahfort,New Stevenchester,237.75,04:00:00,Shake every modern her tough along administration million.
337,Christytown,South Taylorview,283.73,03:00:00,Down office throw decide business.
338,Port Charles,Andersonchester,955.96,01:00:00,Product question show feeling behind opportunity garden.
339,Lake Kara,North Petermouth,550.69,04:00:00,Event heavy ground two morning anyone wind.
340,New John,North Raymondview,150.48,01:00:00,Appear still per task.
341,Terryberg,North Johnborough,223.8,01:00:00,Gun national article oil animal bar shake.
342,Myerstown,West Alanstad,378.89,03:00:00,Catch indeed they market treat admit necessary.
343,South Samanthaview,Santosburgh,409.23,01:00:00,Central especially including above.
344,Laceymouth,North Robinside,980.83,01:00:00,School not economy according.
345,South Jasmin,Stephaniebury,269.62,04:00:00,Easy give play know increase discuss behavior none.
346,Andrewsport,Rileyburgh,851.53,03:00:00,Performance history value blood happen.
347,Ellisfort,West Robert,907.27,05:00:00,Child speak sound as before small.
348,Perkinshaven,Dannyland,179.81,04:00:00,Need young along admit perhaps cost his.
349,West Brentfort,Adrienneborough,753.36,01:00:00,Medical college economy their.
350,Bairdtown,Valeriebury,678.24,05:00:00,Around community since statement blue natural director.
351,South Amanda,West Erikaport,922.38,01:00:00,Within special most but billion campaign smile born.
352,North Claire,Port Randallchester,890.38,01:00:00,Inside grow hair court.
353,Ramirezburgh,Port Peterport,571.27,05:00:00,Often side home difference.
354,Vaughnton,Brandonmouth,939.45,04:00:00,Finish what yard.
355,Lake Roberthaven,South Steven,390.18,05:00:00,Summer himself citizen travel.
356,Port Victoria,North Jasmineberg,418.85,05:00:00,Still modern apply.
357,Victoriahaven,Robertsonfurt,977.72,04:00:00,Tell white site world smile technology.
358,New Scottbury,South Lindsay,539.86,04:00:00,He this participant community take pick find prove.
359,West Brian,Lake Christopherborough,343.19,05:00:00,Sort age soldier cup old sell office.
360,New Adam,Port Kyle,877.53,01:00:00,Laugh low peace commercial fly year find blue.
361,West Cody,Lake Cindy,885.23,04:00:00,Beat candidate item capital product car collection.
362,North Anita,Joelfurt,540.82,05:00:00,Base item region candidate.
363,East Daniel,Jamesmouth,968.64,01:00:00,Similar actually picture method degree money good.
364,West Lucas,Lindseyview,649.97,02:00:00,Research account computer husband red fall notice exist.
