CargaID,TipoCarga,PesoCarga,Comprimento,Largura,Altura,DataEntregaPrevista
116,Líquido,4100.17,8.55,2.19,3.2,2024-10-22
117,Perecível,9026.06,9.69,1.99,3.57,2023-03-25
118,Perigoso,2046.4,1.21,1.63,2.29,2024-03-15
119,Perecível,166.91,6.8,1.03,1.36,2023-07-07
120,Perigoso,3703.42,1.14,2.04,0.97,2020-06-20
121,Líquido,2082.59,3.42,1.77,1.24,2021-12-13
122,Perigoso,124.24,6.0,2.14,2.38,2022-06-14
123,Perigoso,2301.64,11.19,2.97,0.92,2024-08-12
124,Perecível,2529.7,4.67,2.42,3.48,2021-01-04
125,Frágil,7407.21,3.12,2.61,1.71,2021-01-01
126,Granel,3992.75,11.83,0.65,3.69,2025-03-08
127,Perecível,8847.9,1.07,1.84,3.98,2021-07-06
128,Líquido,1097.43,14.67,2.61,1.58,2021-09-09
129,Perecível,8023.9,12.31,1.57,3.58,2025-01-02
130,Granel,7931.62,13.6,2.58,1.27,2021-03-14
131,Líquido,47.34,2.32,1.0,3.98,2023-10-20
132,Granel,6726.99,13.69,2.71,2.38,2025-02-04
133,Sólido,9336.36,3.83,2.84,0.92,2022-01-05
134,Perecível,8353.7,11.15,1.03,2.58,2024-05-03
135,Sólido,4393.91,1.63,2.03,2.53,2021-06-18
136,Líquido,6808.25,13.13,1.95,3.66,2021-01-24
137,Sólido,9256.32,13.94,2.17,2.39,2020-08-29
138,Granel,1642.04,2.82,2.62,3.63,2025-02-03
139,Sólido,4560.57,6.02,0.59,3.91,2022-05-30
140,Perigoso,7557.15,7.41,1.25,1.04,2021-10-27
141,Granel,6810.64,10.25,2.13,3.45,2023-09-25
142,Granel,8009.86,0.66,2.86,1.65,2024-11-30
143,Sólido,5695.97,11.16,2.88,1.69,2023-05-05
144,Frágil,7616.35,8.75,0.67,3.86,2022-11-13
145,Sólido,8497.62,4.97,3.0,1.99,2022-11-19
146,Perigoso,1377.76,6.68,1.27,1.75,2025-05-28
147,Perecível,3515.47,14.69,1.55,3.94,2022-08-24
148,Sólido,20.26,3.25,1.26,3.49,2022-03-01
149,Frágil,242.74,2.46,1.87,2.14,2022-07-11
150,Líquido,9711.73,7.85,1.37,2.7,2024-05-22
151,Granel,2481.37,10.84,2.97,1.79,2022-10-28
152,Sólido,3143.33,10.76,1.01,3.89,2022-05-27
153,Sólido,6390.09,9.3,2.01,2.8,2022-06-30
154,Granel,1014.7,7.96,0.6,1.48,2022-08-09
155,Perigoso,5895.19,9.14,0.8,2.19,2023-02-06
156,Perigoso,7373.24,6.84,3.0,2.42,2023-03-04
157,Frágil,9342.04,11.22,2.05,1.68,2020-10-31
158,Sólido,2285.79,9.05,1.77,1.17,2023-12-20
159,Granel,3828.69,13.5,1.32,1.12,2022-10-11
160,Líquido,2376.07,1.49,2.82,3.51,2022-08-08
161,Perecível,4917.45,7.26,1.83,1.4,2022-09-08
162,Perigoso,8272.25,11.78,1.84,1.23,2024-03-20
163,Granel,9272.56,9.55,2.39,1.94,2021-07-27
164,Frágil,8847.95,8.59,1.38,1.81,2024-12-29
165,Frágil,438.27,8.27,0.75,0.99,2020-06-07
166,Líquido,5780.21,6.2,0.99,1.93,2022-02-26
167,Perigoso,5922.7,8.68,1.96,3.1,2021-06-22
168,Perecível,2981.19,6.71,1.4,0.81,2021-06-01
169,Perigoso,3747.63,6.84,2.93,3.92,2022-05-16
170,Sólido,3605.97,4.83,1.17,3.96,2021-05-17
171,Frágil,86.66,9.65,2.06,2.14,2023-02-20
172,Líquido,2969.45,2.92,2.44,3.83,2020-08-08
173,Perigoso,5599.33,14.32,2.65,0.93,2022-12-21
174,Sólido,6660.7,14.44,2.25,0.54,2024-07-02
175,Perigoso,8005.28,1.93,0.82,3.43,2021-09-08
176,Granel,3798.35,0.96,1.35,3.47,2021-01-13
177,Sólido,1917.16,8.22,2.88,2.9,2020-07-29
178,Granel,2001.68,6.0,1.79,1.21,2020-12-11
179,Líquido,6374.58,14.73,2.02,1.65,2025-02-11
180,Perigoso,8559.61,14.44,0.6,3.84,2022-06-29
181,Perigoso,1123.48,3.32,1.8,3.95,2025-02-10
182,Frágil,5145.39,12.85,0.83,2.72,2023-12-30
183,Perigoso,4915.53,11.45,1.94,2.81,2024-09-04
184,Frágil,1920.07,1.26,2.25,3.65,2025-04-29
185,Líquido,5388.5,4.92,1.06,1.83,2024-08-28
186,Perecível,4714.94,12.32,0.55,2.5,2021-12-22
187,Frágil,3317.91,1.12,2.26,1.26,2021-07-13
188,Frágil,4477.59,5.05,1.77,0.64,2024-01-13
189,Perecível,7373.31,3.93,1.22,3.64,2023-03-12
190,Perecível,4501.92,1.82,0.72,3.05,2024-11-12
191,Perigoso,1947.24,5.59,1.53,0.64,2024-04-05
192,Líquido,5918.08,10.25,2.45,1.11,2024-07-07
193,Sólido,2022.04,5.6,1.54,2.23,2021-09-04
194,Perigoso,5849.37,4.6,0.64,1.66,2022-12-08
195,Granel,5207.57,8.09,2.42,3.44,2021-08-04
196,Perecível,8864.28,8.97,2.71,1.55,2025-04-02
197,Perigoso,4439.16,14.3,2.39,0.76,2022-04-27
198,Frágil,3330.31,13.69,0.88,2.33,2024-02-24
199,Perecível,3740.83,6.7,0.58,0.59,2023-03-31
200,Líquido,4752.99,6.1,1.53,2.33,2022-07-01
201,Granel,7743.91,13.37,2.77,2.47,2020-11-09
202,Frágil,3899.12,11.33,1.75,3.87,2022-03-26
203,Frágil,4749.62,6.7,1.36,3.39,2021-06-11
204,Granel,2988.45,13.1,1.04,3.68,2023-08-15
205,Granel,7321.82,12.27,2.3,2.83,2022-05-04
206,Líquido,4808.01,10.5,1.47,2.38,2022-01-09
207,Frágil,1191.07,3.96,2.55,1.5,2020-07-29
208,Perigoso,2352.99,9.82,2.97,3.9,2024-07-12
209,Perigoso,2988.38,9.08,1.42,2.13,2025-05-20
210,Granel,9253.76,9.37,2.53,1.08,2020-07-04
211,Líquido,1593.18,7.97,2.86,1.07,2023-03-04
212,Frágil,2416.6,5.78,1.75,2.99,2024-11-16
213,Perecível,254.1,14.57,1.37,2.12,2024-05-30
214,Granel,187.21,13.54,2.8,0.61,2025-02-02
215,Líquido,7161.48,5.66,1.18,2.27,2025-05-20
216,Sólido,7689.76,10.47,2.82,3.39,2025-04-28
217,Perecível,1126.96,12.19,1.65,3.08,2021-12-26
218,Perigoso,3066.37,12.33,2.36,1.97,2020-10-09
219,Perigoso,5788.99,14.36,1.37,0.73,2024-06-27
220,Líquido,8606.01,11.13,1.39,1.52,2025-04-21
221,Granel,8972.37,1.78,1.56,1.45,2023-07-22
222,Sólido,9553.6,6.62,0.71,3.19,2023-07-19
223,Granel,2375.22,14.57,2.75,2.42,2023-06-16
224,Sólido,5244.89,9.84,0.68,1.08,2020-08-14
225,Perecível,4193.15,11.33,2.83,3.81,2023-05-10
226,Granel,1404.83,9.51,1.4,2.79,2020-11-03
227,Granel,4169.06,6.93,1.81,0.51,2021-11-08
228,Sólido,9939.43,3.53,2.5,3.78,2022-03-14
229,Granel,5135.17,2.41,0.62,2.14,2024-12-03
230,Perecível,9582.25,4.95,1.82,1.23,2023-11-20
231,Sólido,6707.46,6.66,1.9,3.3,2020-11-19
232,Perigoso,8109.64,5.34,2.53,3.14,2021-08-17
233,Frágil,4162.65,14.33,0.99,0.51,2024-05-09
234,Sólido,2518.02,6.6,0.54,1.02,2022-04-27
235,Perigoso,1700.92,11.15,1.67,1.92,2021-06-05
236,Granel,9869.76,5.51,1.85,2.71,2021-08-12
237,Perigoso,9685.23,4.26,2.42,1.96,2021-08-14
238,Líquido,7163.79,9.22,1.62,1.12,2023-01-15
239,Sólido,9856.2,8.66,1.91,3.72,2025-02-21
240,Sólido,4682.21,11.39,1.2,1.89,2023-11-18
241,Frágil,563.58,9.1,0.72,0.93,2023-08-16
242,Líquido,9257.07,8.06,2.81,3.62,2024-11-04
243,Frágil,3269.73,8.49,1.95,1.42,2021-08-29
244,Perigoso,6812.93,11.46,2.52,0.86,2022-01-01
245,Frágil,8335.97,0.81,1.48,1.68,2022-03-22
246,Sólido,9148.46,12.16,2.84,3.04,2024-09-21
247,Granel,4421.88,10.69,1.23,3.32,2025-03-22
248,Perigoso,6100.31,12.81,1.08,3.95,2021-02-16
249,Perigoso,9072.65,3.97,1.7,3.75,2024-03-11
250,Sólido,4158.71,2.6,2.55,1.78,2024-09-12
251,Perecível,4075.02,9.46,0.72,2.43,2022-04-27
252,Sólido,642.86,3.33,2.47,3.3,2025-05-19
253,Perecível,80.72,9.72,1.79,3.83,2024-12-17
254,Granel,4938.39,14.8,1.59,0.97,2020-09-21
255,Granel,4098.74,11.63,2.22,2.49,2024-07-09
256,Perecível,1229.6,13.05,1.25,3.5,2025-01-28
257,Granel,3173.21,8.58,2.55,1.03,2025-05-16
258,Granel,9073.09,0.82,0.79,1.97,2024-07-23
259,Sólido,2618.42,5.32,0.79,0.92,2021-01-02
260,Perecível,4071.1,8.68,2.18,3.94,2021-09-27
261,Frágil,4624.36,7.05,1.61,3.71,2023-06-23
262,Sólido,7738.3,9.08,0.69,2.65,2023-06-24
263,Perecível,6200.62,5.1,2.42,2.59,2025-03-17
264,Sólido,9939.39,9.49,2.73,3.18,2021-03-30
265,Perecível,7431.83,5.73,1.62,2.13,2021-08-21
266,Granel,7664.62,3.42,1.57,2.27,2024-01-09
267,Perigoso,2567.76,12.53,2.05,2.87,2025-03-23
268,Frágil,7401.39,3.23,1.14,3.03,2025-01-10
269,Perigoso,1751.71,14.57,1.25,1.52,2025-02-24
270,Perigoso,7596.74,13.53,0.95,2.23,2021-06-25
271,Frágil,6891.17,1.88,0.86,1.21,2020-09-07
272,Frágil,4973.93,9.8,2.08,1.7,2023-12-05
273,Perigoso,3168.43,4.22,0.79,3.56,2022-04-21
274,Perecível,1149.45,2.04,1.18,2.52,2022-05-17
275,Frágil,1086.49,5.79,0.61,3.45,2022-09-20
276,Granel,7397.67,9.29,2.91,2.56,2023-07-31
277,Perigoso,775.23,3.85,2.71,2.53,2022-01-26
278,Granel,5029.53,8.48,1.86,1.3,2024-01-09
279,Sólido,1478.45,10.73,1.9,0.76,2023-09-13
280,Perecível,61.39,13.06,0.58,1.43,2023-10-24
281,Granel,2913.1,14.05,0.85,2.59,2024-11-22
282,Líquido,7912.68,2.31,0.81,0.75,2021-09-07
283,Líquido,8270.45,13.74,2.32,3.14,2021-07-29
284,Líquido,5827.17,5.97,2.58,0.76,2021-06-18
285,Perigoso,2122.66,13.72,1.54,1.75,2020-11-22
286,Líquido,3544.49,8.06,2.86,1.75,2021-10-07
287,Perecível,1621.69,9.86,0.96,2.9,2023-05-11
288,Perecível,1206.62,11.21,2.8,2.37,2024-09-25
289,Frágil,8809.83,4.74,2.87,3.66,2021-03-20
290,Sólido,6485.52,2.82,1.4,0.71,2024-10-05
291,Perigoso,4231.65,6.94,1.67,1.39,2021-03-27
292,Perigoso,2763.86,14.91,0.97,3.7,2025-05-08
293,Perecível,3597.99,12.53,1.08,3.01,2024-02-18
294,Frágil,1104.5,9.23,2.41,0.76,2022-04-20
295,Frágil,4274.16,0.98,1.54,1.79,2022-06-27
296,Granel,2965.91,5.95,1.85,1.53,2021-10-10
297,Perecível,4466.71,5.54,1.63,1.19,2020-08-05
298,Perigoso,109.21,9.06,1.06,2.48,2023-10-21
299,Frágil,1272.89,2.23,2.23,3.76,2021-06-27
300,Perigoso,6152.0,1.83,1.62,2.01,2023-10-16
301,Sólido,3893.37,4.3,1.22,3.37,2023-07-24
302,Frágil,5182.94,2.93,1.16,0.92,2023-07-11
303,Líquido,294.92,5.25,0.54,0.8,2021-05-06
304,Frágil,5550.88,13.33,0.9,3.41,2023-05-06
305,Líquido,4165.55,6.61,1.69,1.7,2025-01-07
306,Líquido,1344.4,3.3,2.73,3.31,2024-08-23
307,Frágil,3627.68,12.1,0.52,1.71,2024-06-11
308,Perecível,8123.21,6.71,1.4,2.96,2024-09-22
309,Granel,1622.47,12.38,2.52,1.21,2024-01-27
310,Perecível,7307.32,14.79,2.39,2.39,2023-07-12
311,Perecível,3594.84,10.72,2.18,1.98,2023-06-26
312,Perigoso,7370.95,3.35,2.0,1.02,2020-07-16
313,Perecível,5100.51,1.13,1.77,1.94,2023-06-06
314,Frágil,707.81,5.49,1.96,3.58,2022-06-30
315,Sólido,902.2,3.08,2.27,0.61,2020-12-18
316,Perecível,9905.02,14.12,1.12,0.93,2024-01-31
317,Perigoso,5413.38,2.39,1.09,1.71,2023-03-12
318,Perigoso,6716.91,4.23,2.8,3.11,2024-06-20
319,Frágil,3212.05,3.68,2.62,0.87,2025-03-18
320,Frágil,5556.81,12.32,2.81,3.96,2021-02-21
321,Sólido,8033.56,14.42,2.44,2.79,2021-05-16
322,Granel,4088.59,11.64,2.83,3.98,2022-02-15
323,Perecível,5500.69,14.3,2.35,1.99,2021-01-03
324,Frágil,966.4,13.86,0.7,2.06,2023-06-15
325,Perigoso,8542.49,10.29,0.62,3.82,2022-04-23
326,Granel,211.92,8.62,1.99,1.75,2024-11-14
327,Frágil,2539.36,12.72,1.69,3.54,2023-12-05
328,Perecível,4970.24,10.59,2.95,3.6,2024-01-13
329,Frágil,9111.35,7.85,2.44,1.98,2023-04-27
330,Granel,3747.64,5.93,1.1,0.87,2025-01-21
331,Perigoso,9590.59,13.4,1.05,0.59,2023-04-20
332,Sólido,798.84,1.5,1.3,2.07,2021-12-31
333,Líquido,360.67,9.18,1.14,1.13,2024-09-15
334,Perigoso,2717.63,14.79,0.56,3.6,2021-12-07
335,Granel,1449.15,13.37,1.39,3.24,2022-09-21
336,Perigoso,2786.25,12.6,0.54,3.89,2020-07-27
337,Granel,7803.31,4.88,0.68,2.16,2021-05-29
338,Perecível,3754.16,8.27,1.74,2.43,2025-04-08
339,Frágil,3284.6,12.56,2.61,1.14,2023-01-14
340,Perecível,1083.38,3.36,2.14,2.19,2024-03-07
341,Frágil,8635.17,1.39,0.55,3.88,2020-06-20
342,Granel,3013.05,2.34,2.82,0.77,2024-01-10
343,Perecível,1981.44,9.08,2.26,3.9,2020-12-24
344,Perigoso,2710.21,14.69,1.75,2.44,2024-04-04
345,Perigoso,8179.1,10.19,2.47,2.1,2021-06-29
346,Perigoso,1420.68,4.64,0.94,1.95,2023-06-27
347,Líquido,2971.64,6.14,0.8,2.57,2025-01-13
348,Sólido,3512.92,3.29,2.94,1.86,2020-08-15
349,Líquido,8755.55,12.84,1.86,2.66,2020-11-19
350,Granel,4995.32,5.47,2.08,2.46,2024-02-01
351,Perigoso,3541.55,7.67,1.11,2.42,2024-11-03
352,Líquido,9661.41,7.45,1.25,3.12,2024-02-12
353,Líquido,4030.71,5.9,2.32,2.92,2025-03-23
354,Granel,1387.18,0.87,0.63,1.47,2024-08-21
355,Perecível,2866.41,12.54,2.72,2.1,2021-06-18
356,Frágil,4658.02,10.7,1.27,2.41,2024-11-11
357,Sólido,9596.45,10.09,2.03,1.48,2024-01-06
358,Frágil,8141.3,9.94,1.87,1.05,2023-01-30
359,Frágil,9657.84,14.95,2.5,1.69,2023-12-03
360,Líquido,8996.22,9.5,1.56,3.3,2021-04-23
361,Líquido,8278.5,3.32,2.34,0.99,2021-10-02
362,Sólido,2145.73,6.6,1.07,0.9,2023-02-12
363,Sólido,6994.33,10.81,2.6,3.9,2025-04-25
364,Perigoso,5184.05,12.05,0.91,2.67,2022-09-27
365,Líquido,3399.47,14.6,1.26,2.45,2022-03-19
366,Perigoso,6057.33,13.49,2.93,1.08,2020-12-08
367,Líquido,7298.73,3.91,2.31,3.55,2021-10-31
368,Sólido,9446.67,4.0,1.16,2.91,2024-10-07
369,Sólido,8622.89,2.01,2.61,3.71,2021-07-19
370,Perigoso,5002.9,1.75,0.95,0.63,2024-05-21
371,Sólido,4850.81,10.44,2.49,1.38,2024-09-24
372,Líquido,9318.78,9.09,2.22,1.85,2022-04-21
373,Granel,2217.33,4.86,0.89,1.67,2021-03-01
374,Frágil,2728.79,10.99,2.91,1.07,2022-04-02
375,Perecível,2273.87,8.05,1.2,3.91,2021-08-05
376,Granel,2220.06,7.29,0.59,1.75,2021-10-03
377,Sólido,8488.52,5.68,1.65,0.69,2025-01-19
378,Líquido,5240.43,9.75,2.01,1.11,2023-12-31
379,Granel,3439.6,10.73,0.95,3.0,2022-06-23
380,Frágil,2019.63,8.28,1.94,1.27,2023-01-13
381,Granel,6602.17,11.67,0.51,2.53,2024-10-11
382,Frágil,7237.17,6.8,1.58,2.83,2024-02-01
383,Perigoso,324.34,6.06,2.88,2.24,2021-02-23
384,Granel,7301.68,1.44,2.06,2.43,2022-06-16
385,Perigoso,8418.08,12.64,0.51,2.65,2022-07-02
386,Sólido,3836.75,8.4,1.39,1.56,2023-03-18
387,Perecível,1778.46,10.83,0.97,2.35,2020-12-12
388,Sólido,9555.27,13.64,2.09,2.75,2022-05-01
389,Perigoso,4959.91,10.38,1.06,3.19,2022-11-03
390,Perigoso,8081.8,6.3,2.08,2.42,2024-12-25
391,Granel,9810.7,10.8,2.06,0.87,2021-09-22
392,Perigoso,1490.35,7.7,1.29,2.06,2020-06-18
393,Sólido,2071.12,7.18,2.25,2.77,2020-06-30
394,Perigoso,9106.67,2.04,0.57,1.37,2022-10-04
395,Perigoso,9786.38,11.38,0.55,1.1,2022-06-07
396,Sólido,6043.99,7.54,1.7,2.5,2023-08-28
397,Frágil,3039.28,4.06,1.36,3.31,2023-12-18
398,Líquido,4667.86,1.83,2.46,0.69,2023-05-23
399,Sólido,6328.98,13.35,2.94,2.75,2022-11-08
400,Granel,1381.34,2.99,2.2,2.83,2024-12-03
401,Líquido,5303.04,10.51,1.65,0.9,2021-10-24
402,Sólido,3094.86,9.23,1.04,1.55,2022-09-08
403,Granel,4844.83,10.42,2.2,0.94,2024-03-05
404,Granel,5979.6,5.9,2.9,1.11,2023-01-25
405,Líquido,8151.88,14.03,1.86,1.27,2022-01-01
406,Perecível,7158.02,14.4,2.38,2.48,2020-12-23
407,Perecível,2547.34,3.4,2.29,2.84,2021-07-23
408,Frágil,1491.8,13.34,1.62,0.97,2023-12-10
409,Sólido,1863.68,13.59,0.53,3.0,2022-01-13
410,Frágil,9724.82,12.44,1.46,0.94,2023-05-29
411,Perecível,5179.67,8.8,0.6,0.6,2020-12-11
412,Líquido,4448.22,10.2,2.79,1.29,2020-12-06
413,Granel,7674.44,10.29,1.26,2.82,2022-05-10
414,Sólido,2438.41,12.82,1.79,2.92,2020-07-27
415,Granel,6247.74,10.65,2.55,1.97,2025-05-21
416,Granel,4870.13,1.44,1.61,2.52,2022-04-22
417,Líquido,5887.17,3.03,1.76,3.69,2021-07-08
418,Perigoso,5152.57,8.73,1.92,3.11,2022-05-21
419,Granel,3819.36,5.59,1.26,3.47,2023-07-20
420,Perigoso,1057.06,4.17,1.7,1.59,2023-02-13
421,Perecível,1571.16,2.1,1.84,0.82,2020-07-12
422,Perecível,2992.7,8.48,2.92,2.41,2020-07-02
423,Sólido,6935.9,14.4,2.67,3.04,2021-05-03
424,Perigoso,6928.44,8.44,1.43,3.46,2022-10-04
425,Frágil,6446.91,10.59,2.43,1.03,2024-09-02
426,Sólido,4503.84,5.33,1.85,3.31,2024-01-31
427,Perigoso,9000.06,13.3,1.45,3.02,2025-02-03
428,Líquido,6167.92,9.87,2.11,2.0,2020-11-07
429,Sólido,7394.37,7.88,0.73,1.8,2021-11-12
430,Sólido,3254.19,13.26,2.24,1.78,2020-10-04
431,Perigoso,903.75,12.73,0.7,0.56,2023-08-16
432,Perigoso,978.23,4.96,2.9,3.58,2022-08-05
433,Líquido,8132.63,6.93,2.3,1.0,2023-01-04
434,Granel,1055.2,13.36,1.32,1.5,2021-02-07
435,Frágil,5579.61,10.98,2.91,0.67,2025-02-02
436,Sólido,6263.21,3.37,2.49,3.53,2021-01-12
437,Perecível,8108.28,7.63,2.84,3.36,2023-11-18
438,Perigoso,8480.24,7.4,0.8,1.52,2023-03-25
439,Granel,1997.34,9.21,0.93,1.96,2024-01-29
440,Granel,6558.76,12.05,2.34,1.05,2023-09-01
441,Líquido,7109.75,7.14,1.49,0.97,2020-08-14
442,Granel,5870.3,11.48,1.75,1.5,2022-09-30
443,Sólido,936.33,11.21,1.41,3.79,2021-09-07
444,Frágil,5801.16,3.19,1.55,3.3,2024-08-09
445,Granel,7752.09,12.95,0.88,2.04,2024-08-12
446,Frágil,617.54,13.1,2.66,0.54,2023-10-27
447,Sólido,9347.39,11.1,0.64,2.75,2023-06-19
448,Granel,4696.54,6.95,2.21,1.37,2021-04-29
449,Sólido,1433.99,14.58,2.18,2.29,2021-04-26
