VeiculoID,TipoVeiculo,CapacidadeCarga,DataAquisicao,EstadoVeiculo,PlacaVeiculo
88,Carreta,21.77,2023-07-27,Novo,OSH-6A37
89,Van,6.14,2019-05-19,Manutenção,VUX-5N19
90,Carro,21.79,2021-01-22,Novo,EKR-8F75
91,Van,19.65,2022-09-15,Novo,IWM-0F39
92,Caminhão,5.84,2023-10-28,Usado,BLE-6J36
93,Caminhão,5.16,2024-03-26,Manutenção,WLO-1O68
94,Carreta,24.55,2018-12-19,Novo,TNT-3Q06
95,Van,18.46,2020-08-25,Manutenção,CUO-3K71
96,Caminhão,5.4,2017-08-19,Manutenção,VRU-8W39
97,Carreta,22.49,2021-04-09,Usado,JMT-2Q31
98,Carro,26.72,2021-08-06,Novo,RNP-7R29
99,Caminhonete,11.22,2019-07-16,Manutenção,NZM-7A46
100,Carreta,25.56,2015-02-23,Manutenção,HFR-7N00
101,Caminhonete,4.33,2017-11-13,Manutenção,ZQE-2B68
102,Van,4.09,2020-11-13,Usado,WZX-1J67
103,Caminhonete,18.32,2017-06-30,Novo,LJF-0V50
104,Van,8.59,2014-09-26,Manutenção,JZP-8O43
105,Caminhonete,16.21,2024-01-29,Usado,DOO-9V99
106,Caminhão,15.52,2021-08-13,Novo,UCH-4G99
107,Van,22.85,2023-08-17,Usado,SSG-4V31
108,Van,28.0,2021-05-01,Manutenção,WZL-9I67
109,Carreta,10.27,2020-03-11,Manutenção,DFN-8S26
110,Van,29.45,2016-11-15,Novo,CJA-6O57
111,Carro,18.18,2018-09-22,Manutenção,IRN-2N02
112,Carro,8.28,2022-12-12,Manutenção,KXS-6K52
113,Van,11.83,2021-10-24,Novo,CDD-4B59
114,Caminhonete,17.59,2017-09-13,Manutenção,POG-0H39
115,Carreta,3.66,2016-09-03,Usado,HXW-4M75
116,Caminhão,22.51,2018-12-03,Manutenção,UEH-8L32
117,Carro,17.61,2017-01-25,Manutenção,SUC-9O09
118,Caminhonete,15.27,2019-01-01,Novo,FWL-6G17
119,Van,9.36,2019-03-15,Novo,IMG-4S51
120,Carro,25.55,2019-06-30,Novo,BBV-9I92
121,Carro,18.01,2022-10-28,Novo,FVX-4T67
122,Caminhão,23.25,2018-10-18,Manutenção,FGB-1B29
123,Carro,13.11,2016-11-13,Usado,VHG-5J44
124,Caminhonete,23.26,2014-10-04,Manutenção,DDB-6N02
125,Caminhonete,11.96,2019-09-01,Usado,HZE-9T76
126,Van,21.52,2019-08-08,Usado,SRE-5Y65
127,Carreta,2.83,2019-02-18,Manutenção,MSP-9X23
128,Carreta,2.97,2017-02-02,Novo,FAR-0G72
129,Caminhonete,2.41,2024-03-28,Manutenção,OAJ-1M51
130,Caminhonete,12.1,2015-06-05,Novo,DQU-1P22
131,Caminhão,8.4,2015-10-15,Manutenção,DPZ-2X85
132,Carreta,29.44,2017-06-25,Novo,TLH-2X41
133,Caminhonete,4.21,2023-06-10,Usado,MQY-3B51
134,Carreta,2.74,2020-11-12,Usado,TWW-1Y98
135,Caminhão,4.5,2016-07-27,Novo,YVX-3D63
136,Caminhão,18.62,2015-09-04,Usado,OIB-6O74
137,Caminhão,15.64,2019-10-01,Manutenção,OPY-6P65
138,Carreta,18.04,2015-07-25,Novo,LQC-7S18
139,Caminhonete,13.14,2024-02-18,Manutenção,IXD-3G27
140,Caminhonete,28.15,2016-03-20,Novo,HSU-5F94
141,Van,21.93,2019-07-31,Usado,UCQ-9D74
142,Carro,21.4,2015-09-30,Manutenção,PAJ-8O88
143,Carreta,21.69,2020-09-08,Novo,QVS-9U08
144,Carro,2.8,2015-01-17,Usado,NML-8C25
145,Carro,4.13,2020-10-09,Manutenção,OVL-1H51
146,Carreta,10.7,2020-10-14,Manutenção,CVQ-9V72
147,Carreta,21.63,2019-03-12,Novo,BWA-4B37
148,Caminhonete,23.13,2015-07-24,Novo,ULU-7P14
149,Caminhão,4.18,2020-09-25,Manutenção,UDO-1F81
150,Carro,24.35,2021-03-16,Manutenção,AWZ-2S71
151,Caminhão,12.1,2016-04-24,Manutenção,AFH-8T13
152,Caminhonete,18.34,2015-05-15,Novo,DIZ-5M38
153,Caminhonete,28.28,2014-07-20,Novo,TGR-9Z48
154,Carro,21.62,2024-04-05,Usado,HFE-0C59
155,Caminhão,11.64,2016-08-12,Manutenção,ZSC-1U87
156,Caminhão,2.73,2020-07-25,Manutenção,UQQ-9L06
157,Carro,4.3,2016-03-19,Usado,ZNK-9W46
158,Carro,8.26,2017-04-26,Novo,ZUK-6J11
159,Van,8.08,2014-07-18,Manutenção,YYA-7D73
160,Caminhonete,24.24,2014-10-12,Manutenção,NVF-9M93
161,Carreta,29.1,2019-03-28,Manutenção,EUJ-6M07
162,Van,13.94,2022-04-16,Novo,ZMW-0L62
163,Caminhonete,26.04,2016-09-06,Manutenção,XSB-7R64
164,Van,28.72,2022-07-03,Usado,EIU-5E00
165,Carreta,14.31,2016-03-13,Manutenção,VKF-3Q60
166,Carreta,16.56,2016-07-14,Novo,OFI-9B57
167,Carro,7.21,2017-05-09,Novo,KWX-6U52
168,Carro,19.42,2014-10-06,Manutenção,BWO-6U13
169,Carreta,12.63,2018-01-05,Novo,VPE-1I61
170,Carro,6.64,2017-07-10,Usado,TJX-8I33
171,Carro,17.03,2024-05-13,Novo,SGW-8I23
172,Van,2.91,2023-01-17,Novo,NJD-1T03
173,Carro,18.34,2019-09-16,Manutenção,JCD-7S44
174,Caminhonete,1.88,2024-05-29,Manutenção,VLG-1G56
175,Caminhonete,7.74,2024-05-21,Manutenção,ZUX-6L24
176,Caminhão,28.08,2017-05-21,Manutenção,PAZ-7O02
177,Caminhonete,21.15,2020-04-12,Manutenção,PJK-5P06
178,Van,18.1,2022-05-02,Manutenção,CNY-8L12
179,Carro,1.47,2022-02-12,Manutenção,FLM-0B67
180,Caminhão,5.43,2021-04-30,Usado,JEA-1Y91
181,Caminhão,16.46,2016-08-12,Usado,CSD-4V26
182,Caminhonete,24.22,2018-03-08,Manutenção,LCM-1P30
183,Carreta,26.19,2015-09-22,Manutenção,PNS-7C54
184,Van,12.39,2020-12-01,Usado,MXV-8G95
185,Caminhão,17.38,2022-09-12,Novo,PGU-6R77
186,Caminhonete,10.78,2017-10-31,Manutenção,IXH-2A20
187,Van,5.54,2023-01-07,Manutenção,TLM-1U80
188,Carro,20.95,2018-03-29,Novo,WRC-3F78
189,Carreta,24.36,2021-09-17,Usado,CZA-7F95
190,Van,8.3,2019-05-16,Novo,KMP-3Z75
191,Van,2.4,2019-12-21,Manutenção,UJA-1Q92
192,Carreta,2.03,2020-05-20,Usado,NDE-1V12
193,Caminhão,16.39,2021-09-01,Manutenção,JPY-4V82
194,Van,5.87,2018-08-25,Novo,EIN-8V46
195,Caminhão,28.95,2020-10-20,Manutenção,YBT-4D95
196,Carro,25.96,2016-03-02,Manutenção,DLP-4I16
197,Van,1.34,2022-02-15,Novo,EIG-9Q64
198,Caminhonete,23.12,2017-12-07,Manutenção,SKY-4J41
199,Caminhonete,12.37,2023-02-06,Manutenção,CPD-9F80
200,Carreta,18.07,2021-02-05,Usado,DUE-8I48
201,Caminhonete,29.96,2017-09-23,Usado,WXF-9Y59
202,Caminhonete,22.41,2023-03-15,Novo,NXX-7P13
203,Carreta,8.06,2017-08-10,Manutenção,CUQ-4P10
204,Carreta,13.13,2014-09-23,Manutenção,YHQ-4G97
205,Caminhonete,12.85,2014-07-19,Novo,FDJ-6N13
206,Van,11.31,2017-04-23,Manutenção,TEA-7E48
207,Carreta,23.13,2023-09-20,Usado,JVN-3P05
208,Van,9.77,2017-09-19,Manutenção,GRV-6C07
209,Van,23.67,2014-11-17,Usado,RZN-2E07
210,Carreta,17.06,2023-03-03,Usado,EHI-5H08
211,Caminhonete,11.2,2021-09-09,Novo,JDF-0M37
212,Van,13.39,2020-09-12,Novo,MUK-0Q89
213,Caminhonete,20.23,2018-05-12,Novo,JDX-3Z21
214,Carro,3.33,2019-07-06,Novo,EEO-4R01
215,Caminhonete,7.08,2018-02-14,Manutenção,YIU-3N42
216,Van,3.78,2016-03-21,Usado,RYT-8E78
217,Caminhonete,2.3,2017-10-31,Manutenção,GHW-9F84
218,Van,1.61,2021-09-20,Usado,FGW-9Z31
219,Caminhão,20.55,2021-10-26,Novo,XEC-3M86
220,Van,25.17,2018-04-25,Novo,TLT-6O21
221,Van,26.21,2014-07-19,Usado,EKY-8B78
222,Carreta,2.1,2022-08-01,Manutenção,FZC-8B16
223,Carreta,18.3,2022-02-17,Novo,QKZ-6U12
224,Carro,6.85,2022-06-01,Novo,LCP-9P98
225,Caminhão,16.74,2016-09-15,Usado,WYF-9S82
226,Caminhonete,15.87,2021-07-09,Novo,UXE-0N31
227,Caminhão,20.48,2022-03-21,Novo,AMN-4W50
228,Caminhonete,4.74,2015-09-09,Usado,RSW-3P50
229,Van,23.82,2017-06-04,Manutenção,JGH-4H38
230,Caminhonete,1.59,2019-11-23,Manutenção,JXA-9Y25
231,Van,20.65,2019-09-15,Usado,WSW-1B53
232,Van,20.26,2017-06-21,Usado,ZEK-6U15
233,Caminhonete,5.29,2020-04-19,Usado,NKO-9T17
234,Van,24.88,2021-05-13,Novo,IWA-2L03
235,Carro,17.07,2020-11-20,Usado,BJR-7I63
236,Van,16.82,2021-07-11,Manutenção,GDB-4D10
237,Caminhonete,3.01,2021-01-02,Usado,PRJ-6O40
238,Van,26.6,2023-08-11,Novo,HMD-6X38
239,Carreta,17.03,2016-03-26,Usado,KJR-6B61
240,Caminhonete,23.83,2021-10-13,Manutenção,GBR-8D42
241,Van,21.83,2020-03-02,Novo,RMU-9W68
242,Carreta,26.41,2021-03-04,Novo,WAL-3L30
243,Caminhão,28.82,2021-08-06,Manutenção,JMW-8O58
244,Caminhonete,10.69,2018-05-02,Manutenção,JBZ-2R33
245,Carro,18.46,2021-06-04,Novo,BZO-2W07
246,Van,2.88,2018-05-30,Manutenção,MZB-0W13
247,Van,27.46,2015-05-03,Novo,WVE-5B79
248,Carreta,21.93,2023-11-17,Novo,IQE-3B13
249,Caminhão,18.79,2021-12-26,Manutenção,QSJ-7C77
250,Caminhonete,20.07,2022-08-15,Usado,FKW-4O94
251,Van,16.35,2022-10-12,Novo,ZDG-0B73
252,Caminhão,25.34,2022-04-07,Novo,VQH-3M03
253,Caminhão,18.4,2020-03-30,Novo,HAS-2H89
254,Van,12.01,2022-04-15,Usado,THQ-1J16
255,Van,3.24,2017-10-12,Usado,WWN-8A94
256,Carreta,28.93,2019-06-13,Usado,MGB-9B50
257,Carreta,10.48,2022-05-27,Usado,ZIP-5I53
258,Van,26.31,2023-12-28,Usado,VEV-7V58
259,Carreta,9.69,2024-02-25,Novo,KQW-4U06
260,Van,4.67,2019-08-09,Usado,HWI-5M52
261,Carro,21.42,2020-04-03,Novo,EWT-7A81
262,Carro,14.7,2023-12-29,Novo,ZWW-1S93
263,Van,27.32,2019-09-26,Novo,GUA-9K19
264,Van,7.88,2023-03-09,Manutenção,DUM-3N76
265,Carreta,20.01,2019-09-29,Novo,VAP-5W06
266,Van,26.12,2018-10-13,Novo,KJB-1E27
267,Caminhonete,3.25,2014-09-22,Manutenção,QKM-7B46
268,Carreta,10.14,2014-07-23,Manutenção,LOS-2M25
269,Van,18.66,2021-07-13,Novo,YLM-1P36
270,Carro,17.12,2020-12-03,Novo,STR-0O77
271,Van,6.97,2020-09-13,Manutenção,LDD-4J59
272,Caminhonete,4.3,2015-02-04,Usado,KWD-5T28
273,Caminhonete,14.37,2024-02-17,Novo,HGI-7J87
274,Caminhonete,17.02,2017-12-05,Usado,PNF-9H90
275,Caminhonete,27.03,2014-09-26,Usado,TWI-9E02
276,Carreta,20.57,2019-12-08,Usado,ZVQ-4Y02
277,Caminhonete,19.28,2015-05-14,Novo,RAC-7E53
278,Caminhonete,11.03,2016-09-14,Novo,QFC-6S22
279,Caminhonete,17.64,2017-06-06,Usado,ARL-4Z23
280,Carreta,23.79,2018-09-27,Usado,YVH-9V76
281,Caminhão,24.25,2019-06-15,Novo,GNR-1Q33
282,Caminhonete,23.5,2022-05-14,Manutenção,UNE-3R39
283,Caminhonete,13.51,2024-05-18,Usado,QCO-0I76
284,Caminhonete,6.93,2014-12-07,Manutenção,AIG-5W20
285,Carro,8.62,2018-09-25,Usado,YCP-3E12
286,Carro,17.22,2017-08-14,Manutenção,AOU-1A87
287,Carro,3.4,2017-12-08,Usado,RIY-9C22
288,Caminhão,29.29,2019-04-14,Usado,VDY-4I01
289,Caminhão,12.81,2017-02-01,Manutenção,KDO-9F12
290,Caminhão,15.44,2015-09-17,Novo,AEX-0H66
291,Carro,14.49,2022-01-11,Manutenção,NWU-2V33
292,Caminhão,8.43,2023-01-29,Usado,VJR-6X65
293,Caminhão,12.85,2021-03-17,Manutenção,JVD-3T38
294,Carro,23.93,2016-11-13,Novo,MWU-8M72
295,Caminhão,3.55,2024-05-04,Manutenção,DLM-9O22
296,Carro,27.06,2016-05-21,Manutenção,JXH-4E54
297,Caminhonete,17.45,2021-11-01,Manutenção,ECP-2I90
298,Caminhonete,10.77,2016-12-01,Novo,PZA-1S96
299,Carro,28.04,2016-04-28,Manutenção,WWM-8V77
300,Carreta,21.74,2023-04-16,Usado,WQZ-4F21
301,Carro,19.2,2016-02-05,Novo,RZF-8G93
302,Caminhão,25.72,2018-02-12,Usado,BFY-6O44
303,Caminhonete,16.19,2023-02-13,Novo,KAI-4C42
304,Caminhonete,23.2,2016-08-03,Manutenção,XMG-0I10
305,Caminhão,5.12,2016-07-16,Usado,XGB-0D25
306,Caminhão,28.46,2016-07-16,Usado,TGV-8Y75
307,Carreta,24.74,2019-03-08,Manutenção,PUZ-0N63
308,Caminhonete,17.61,2017-05-15,Manutenção,CVH-4G01
309,Caminhão,5.49,2016-07-19,Usado,SIZ-0O64
310,Carreta,8.34,2018-01-04,Usado,QGL-6Y74
311,Carro,16.03,2015-10-11,Manutenção,VQZ-2D31
312,Carreta,6.25,2020-09-09,Usado,SMJ-1M29
313,Carreta,23.03,2018-06-22,Usado,GLK-6L37
314,Carreta,23.88,2015-01-28,Usado,BES-0Y34
315,Carreta,21.73,2020-08-03,Manutenção,OHI-1T18
316,Carro,11.74,2016-12-12,Usado,RBF-1E54
317,Carro,1.24,2016-01-20,Novo,KWL-9H86
318,Caminhão,12.14,2019-12-17,Usado,SJY-3S24
319,Van,15.69,2018-10-14,Novo,VAX-1S33
320,Carro,6.04,2015-08-29,Manutenção,CGR-0D29
321,Van,7.53,2017-08-01,Usado,QSJ-2G44
322,Caminhão,19.03,2019-07-02,Usado,TWD-5L94
323,Van,3.67,2024-02-21,Usado,SBR-1M96
324,Carreta,16.9,2018-11-01,Novo,CXI-5Y95
325,Carro,9.38,2020-04-24,Novo,TQF-2K94
326,Carreta,22.94,2020-02-03,Manutenção,EXB-6N34
327,Carreta,2.69,2020-09-08,Manutenção,ASR-3Y03
328,Caminhonete,28.95,2020-10-13,Usado,LQO-8K99
329,Carro,17.63,2018-01-29,Manutenção,GSU-0X99
330,Carreta,21.24,2014-09-27,Novo,QIE-2R94
331,Carro,18.98,2024-01-27,Manutenção,GMZ-0S47
332,Carro,27.28,2016-06-20,Manutenção,HUN-0A26
333,Caminhonete,17.01,2018-09-28,Manutenção,ERF-4F94
334,Carro,20.25,2020-03-21,Novo,SOT-8L89
335,Carreta,16.28,2015-04-21,Manutenção,TMJ-0S94
336,Caminhonete,8.02,2023-06-05,Usado,GZY-8S65
337,Caminhonete,14.95,2018-08-08,Usado,MDH-9M87
338,Carreta,10.59,2019-07-09,Novo,FTE-2G13
339,Caminhão,16.91,2023-03-06,Novo,IJN-9B58
340,Van,25.97,2017-06-22,Novo,QTD-3B97
341,Caminhão,8.41,2015-02-05,Manutenção,QHG-7S80
342,Carreta,6.77,2016-05-02,Manutenção,OIF-7R23
343,Caminhão,3.34,2014-09-04,Manutenção,JPF-3L03
344,Carro,9.79,2015-03-04,Manutenção,AYS-0K10
345,Caminhão,7.26,2019-11-08,Manutenção,GFU-0X86
346,Caminhonete,16.56,2018-11-17,Manutenção,MLG-7I58
347,Caminhonete,14.96,2014-12-24,Usado,IXI-6I88
348,Carreta,12.47,2015-06-05,Novo,JJW-9Z60
349,Caminhão,15.53,2016-01-03,Manutenção,BFI-5P73
350,Caminhão,19.72,2023-09-05,Novo,RZL-1A12
351,Van,11.75,2023-05-28,Manutenção,AWF-6F80
352,Van,21.71,2019-04-08,Usado,RKH-8G21
353,Caminhão,4.43,2019-08-26,Novo,IBB-0B99
354,Carro,6.16,2019-03-26,Novo,ETT-8Q30
355,Carro,5.83,2018-05-16,Manutenção,ITR-6E67
356,Caminhão,15.12,2022-11-10,Usado,ENN-1C57
357,Caminhão,4.82,2023-05-24,Novo,WOC-0U68
358,Carro,18.26,2016-09-05,Manutenção,BRT-2W76
359,Carro,25.99,2022-07-30,Manutenção,NTY-9C22
360,Van,20.02,2015-02-28,Usado,SHN-0L96
361,Caminhão,5.52,2021-03-09,Manutenção,GUZ-2Z48
362,Carro,5.38,2016-09-25,Usado,PKJ-3F72
363,Caminhão,12.88,2021-01-23,Novo,AVL-5Z97
364,Carreta,1.58,2023-10-27,Usado,AJC-0R10
365,Van,7.1,2023-11-23,Usado,BDA-1Y87
366,Carro,23.61,2024-02-20,Manutenção,QXK-5I99
367,Caminhão,12.17,2017-03-23,Novo,CHV-7D11
368,Van,10.34,2015-09-15,Usado,GXR-8B77
369,Caminhão,18.37,2020-08-03,Novo,NMF-4M70
370,Van,27.37,2020-03-17,Manutenção,VWR-1J32
371,Caminhão,2.71,2020-04-07,Novo,TMW-7P30
372,Carreta,7.89,2017-08-08,Usado,AYQ-5Q83
373,Caminhão,27.78,2019-10-09,Usado,SUY-4I64
374,Caminhão,6.42,2021-05-06,Manutenção,OLH-9I59
375,Carro,5.42,2017-07-19,Novo,SGS-7D31
376,Carro,15.54,2018-03-13,Manutenção,BPB-4Q41
377,Caminhonete,12.34,2015-02-03,Manutenção,LFP-4M73
378,Caminhonete,5.26,2024-06-01,Novo,WOL-6F88
379,Caminhonete,19.1,2016-06-27,Manutenção,HIG-2R95
380,Caminhão,11.1,2019-12-28,Usado,FBJ-4W44
381,Van,13.77,2023-10-06,Usado,UYV-8L85
382,Van,12.25,2020-09-24,Usado,HWV-5R59
383,Carro,14.88,2018-01-03,Novo,NCU-2T49
384,Caminhonete,5.22,2016-10-15,Manutenção,JZR-8H10
385,Carreta,19.93,2017-09-08,Novo,AKK-7R97
386,Carro,28.55,2024-04-12,Usado,XNC-2V13
387,Carro,16.35,2016-08-22,Novo,WIU-9T62
388,Caminhonete,17.97,2020-06-25,Novo,NMM-2S96
389,Caminhonete,27.94,2023-06-26,Novo,WCK-3H49
390,Caminhão,17.27,2022-03-29,Novo,YMX-7K72
391,Van,8.73,2015-01-05,Usado,DQY-2P25
392,Caminhonete,3.95,2023-01-10,Manutenção,GQS-0E39
393,Van,21.05,2017-01-29,Manutenção,BTS-3P03
394,Carro,13.94,2014-10-13,Usado,MBI-4B14
395,Caminhonete,21.17,2016-12-23,Novo,CFY-7N53
396,Caminhonete,12.74,2020-10-21,Novo,QKW-5E45
397,Carreta,8.45,2021-04-08,Novo,FII-4U44
398,Caminhonete,21.8,2020-07-03,Manutenção,VVF-6G65
399,Caminhonete,17.09,2022-09-20,Manutenção,YYX-1U64
400,Caminhonete,24.5,2022-10-21,Novo,NJR-3Y85
401,Caminhonete,26.93,2024-05-25,Novo,GFZ-7G19
402,Caminhão,19.23,2018-11-28,Usado,YKP-2Z75
403,Van,3.81,2021-04-26,Manutenção,AKS-1G77
404,Caminhão,29.8,2023-04-12,Manutenção,JBS-9N83
405,Caminhonete,19.05,2015-12-06,Manutenção,GWT-3Y18
406,Van,19.4,2014-11-21,Novo,MZM-2J70
407,Van,23.18,2022-01-03,Usado,CKB-9M72
408,Carro,29.58,2020-09-30,Manutenção,SSA-4K87
409,Van,3.56,2023-07-20,Manutenção,LLG-4I28
410,Caminhão,12.4,2024-05-16,Usado,ILQ-2B24
411,Van,18.41,2016-07-26,Novo,IHW-0K91
412,Van,15.4,2022-05-28,Manutenção,IUO-6Q52
413,Caminhonete,14.59,2024-05-10,Usado,IZG-3J45
414,Caminhão,9.23,2024-01-28,Manutenção,MVX-1L09
415,Carro,1.97,2014-11-16,Novo,SOL-3N29
416,Carreta,18.53,2024-03-30,Usado,YZV-8M32
417,Carro,17.21,2017-01-05,Manutenção,YST-0T85
418,Carreta,19.13,2023-12-27,Manutenção,EWY-4W13
419,Van,18.14,2022-12-02,Manutenção,RFG-2N21
420,Carro,14.01,2018-03-04,Manutenção,NPS-1O57
421,Carreta,26.43,2024-05-26,Novo,SMB-5Z52
422,Caminhão,3.98,2021-01-01,Novo,TDQ-7R14
423,Caminhonete,19.55,2019-05-01,Manutenção,OVC-1K15
424,Carro,27.86,2017-04-12,Novo,IAI-8Z42
425,Van,12.68,2015-06-12,Usado,ZIB-4W58
426,Caminhão,24.93,2016-09-24,Novo,UML-7N90
427,Carro,19.49,2023-07-03,Novo,EKL-5C27
428,Carro,29.03,2018-10-09,Novo,ZLV-9E93
429,Carreta,5.62,2019-02-08,Usado,TCR-4Y25
430,Carreta,21.01,2019-02-01,Usado,SQA-5J05
431,Carro,13.58,2019-03-11,Manutenção,XAQ-3U32
432,Van,29.73,2018-07-20,Usado,HIK-3S73
433,Caminhão,11.85,2020-10-29,Usado,JBH-7V99
434,Van,10.38,2019-02-25,Novo,UHF-1Y48
435,Van,29.23,2024-05-18,Manutenção,BKE-5N82
436,Carro,22.11,2015-04-09,Manutenção,FYJ-0L97
437,Caminhonete,12.86,2017-11-04,Manutenção,GUH-8X25
438,Carro,28.87,2019-02-23,Manutenção,WSX-5M12
439,Van,23.45,2018-06-22,Usado,OCW-1L58
440,Caminhão,13.84,2022-09-14,Novo,PIE-0G70
441,Caminhão,7.85,2023-09-30,Usado,SWJ-6L90
442,Carreta,5.57,2022-08-12,Manutenção,FQG-2N07
443,Caminhão,7.76,2015-11-11,Novo,URN-4Z04
444,Carreta,2.05,2016-05-07,Manutenção,HWF-6J90
445,Van,26.45,2021-08-03,Usado,MES-9B22
446,Van,22.65,2022-01-24,Novo,EIM-3K08
447,Caminhão,23.19,2019-06-10,Usado,OWE-9J46
448,Caminhonete,5.21,2023-01-07,Usado,MFF-8V48
449,Van,21.46,2016-11-17,Novo,MHR-2Q79
