AgendamentoID,DataHoraColeta,DataHoraEntrega,MotoristaID,VeiculoID,CargaID
34,2023-10-23 10:24:52.582620,2023-10-24 12:24:52.582620,9117,5935,4116
35,2024-01-16 16:16:00.404553,2024-01-17 04:16:00.404553,8112,5635,1858
36,2023-10-14 06:35:30.048825,2023-10-17 04:35:30.048825,7023,1991,3831
37,2023-09-06 07:35:55.159942,2023-09-08 21:35:55.159942,5361,5083,5326
38,2023-12-13 07:25:47.489373,2023-12-15 05:25:47.489373,5310,4139,4902
39,2024-01-11 11:29:07.608964,2024-01-11 23:29:07.608964,5973,5334,3731
40,2024-03-21 19:34:49.551319,2024-03-21 23:34:49.551319,6750,5006,8216
41,2023-07-06 17:50:52.750987,2023-07-07 15:50:52.750987,9643,1593,8769
42,2024-03-13 19:08:32.225693,2024-03-14 11:08:32.225693,9041,4478,8581
43,2024-04-17 09:47:25.382725,2024-04-19 06:47:25.382725,4354,3497,7797
44,2023-08-20 00:25:12.627054,2023-08-21 19:25:12.627054,8313,8206,446
45,2023-10-15 15:25:17.983745,2023-10-17 17:25:17.983745,7910,4154,3830
46,2023-06-13 02:00:58.192265,2023-06-14 10:00:58.192265,5642,3189,2400
47,2023-09-24 10:04:06.273216,2023-09-26 15:04:06.273216,3468,704,2335
48,2023-08-27 16:04:03.096368,2023-08-30 01:04:03.096368,6640,7646,7754
49,2023-08-14 18:54:08.572558,2023-08-16 14:54:08.572558,9346,7921,7683
50,2024-02-05 06:15:16.146881,2024-02-07 19:15:16.146881,1435,9709,2067
51,2023-10-29 22:14:18.247091,2023-10-30 07:14:18.247091,6467,917,7126
52,2023-11-21 15:21:24.569133,2023-11-22 20:21:24.569133,7476,5223,9674
53,2023-10-02 14:35:48.159720,2023-10-04 12:35:48.159720,2617,7921,4028
54,2024-05-19 01:36:30.466673,2024-05-21 01:36:30.466673,3052,5927,6135
55,2023-11-14 01:09:47.250797,2023-11-16 22:09:47.250797,7591,8458,3245
56,2023-10-07 16:40:09.292249,2023-10-10 16:40:09.292249,2659,6775,2975
57,2024-01-02 03:59:10.941516,2024-01-04 02:59:10.941516,9434,3782,411
58,2024-03-29 18:02:46.127249,2024-04-01 04:02:46.127249,3009,1852,5508
59,2023-09-27 16:32:49.906570,2023-09-30 06:32:49.906570,4387,5802,2520
60,2023-11-20 13:43:23.755859,2023-11-21 04:43:23.755859,3456,959,227
61,2024-05-20 23:00:01.449472,2024-05-22 16:00:01.449472,7206,4769,2899
62,2024-02-02 19:52:15.327850,2024-02-05 18:52:15.327850,3820,9698,7874
63,2024-02-25 23:55:08.587761,2024-02-26 11:55:08.587761,1576,4583,9545
64,2023-09-03 06:41:15.661418,2023-09-05 09:41:15.661418,4047,7251,9554
65,2023-11-14 10:41:56.525342,2023-11-14 22:41:56.525342,3880,407,999
66,2023-08-22 17:56:42.472343,2023-08-24 18:56:42.472343,3876,1617,8505
67,2023-12-20 03:45:47.496228,2023-12-20 04:45:47.496228,8268,288,8979
68,2024-03-27 20:15:45.854759,2024-03-29 03:15:45.854759,7389,7029,1539
69,2023-08-12 10:07:08.107800,2023-08-15 06:07:08.107800,872,8077,7741
70,2024-05-02 12:04:31.207445,2024-05-05 10:04:31.207445,243,3782,7713
71,2023-11-03 18:00:02.222848,2023-11-05 06:00:02.222848,3972,7126,9079
72,2023-10-15 21:22:33.324078,2023-10-17 10:22:33.324078,287,4875,8921
73,2023-11-20 17:25:22.583610,2023-11-21 21:25:22.583610,7953,9609,3379
74,2023-10-07 06:55:12.904288,2023-10-09 14:55:12.904288,9385,7705,1150
75,2023-07-28 06:15:39.073685,2023-07-28 13:15:39.073685,9792,8058,8923
76,2024-01-31 02:26:55.837466,2024-01-31 03:26:55.837466,9242,2044,6333
77,2024-02-24 04:32:59.416194,2024-02-26 18:32:59.416194,7110,7298,9904
78,2023-09-15 15:46:36.611629,2023-09-17 22:46:36.611629,2141,6791,4918
79,2024-05-16 12:13:39.985869,2024-05-19 11:13:39.985869,4193,4792,3440
80,2023-09-15 00:47:10.781346,2023-09-16 16:47:10.781346,639,1345,4322
81,2024-01-03 00:49:30.907305,2024-01-03 17:49:30.907305,6133,7060,4669
82,2023-11-05 00:50:40.196471,2023-11-07 02:50:40.196471,4680,5314,1209
83,2024-02-18 03:24:48.023499,2024-02-18 07:24:48.023499,4138,3842,7811
84,2024-04-24 14:55:04.810433,2024-04-26 14:55:04.810433,1599,9038,5115
85,2024-04-26 04:24:28.813999,2024-04-29 01:24:28.813999,7654,2105,7601
86,2023-09-22 16:44:26.083035,2023-09-22 20:44:26.083035,1195,3388,1456
87,2024-02-22 05:25:36.766543,2024-02-23 12:25:36.766543,7165,7161,6238
88,2023-10-22 11:10:23.798759,2023-10-25 10:10:23.798759,1298,4773,4033
89,2024-01-23 04:31:27.099788,2024-01-25 06:31:27.099788,6349,5400,5546
90,2024-02-26 08:31:50.200992,2024-02-26 13:31:50.200992,7556,1171,9950
91,2023-12-11 00:52:13.265724,2023-12-14 00:52:13.265724,9594,4777,6571
92,2023-08-13 18:53:00.882592,2023-08-14 06:53:00.882592,3019,2291,5829
93,2023-07-02 18:05:04.663935,2023-07-03 18:05:04.663935,939,1645,1422
94,2024-03-17 22:20:19.464605,2024-03-20 21:20:19.464605,3394,6944,1838
95,2023-07-30 07:47:19.620290,2023-07-31 10:47:19.620290,77,7303,3540
96,2023-12-06 12:59:29.745346,2023-12-06 21:59:29.745346,2723,8118,2003
97,2024-03-20 21:00:26.774892,2024-03-21 05:00:26.774892,767,5370,81
98,2023-10-16 05:46:06.465215,2023-10-19 04:46:06.465215,9131,8840,9621
99,2024-01-05 04:03:43.531300,2024-01-07 15:03:43.531300,5708,9081,682
100,2023-08-21 18:24:19.317224,2023-08-23 13:24:19.317224,234,7379,2596
101,2024-04-10 08:18:56.916138,2024-04-10 18:18:56.916138,5579,1274,4598
102,2023-07-02 01:31:04.375309,2023-07-03 12:31:04.375309,7337,9862,8938
103,2024-04-29 10:18:48.691416,2024-04-30 09:18:48.691416,4384,7822,2227
104,2023-08-12 11:40:10.379376,2023-08-14 16:40:10.379376,168,4834,5844
105,2024-04-06 19:18:12.894874,2024-04-06 21:18:12.894874,6593,548,3603
106,2023-08-23 20:31:18.568258,2023-08-26 08:31:18.568258,6877,66,7906
107,2023-11-17 06:33:26.948144,2023-11-17 20:33:26.948144,5195,5081,6178
108,2023-08-13 02:02:02.748628,2023-08-14 19:02:02.748628,7891,3489,6899
109,2024-02-23 16:33:28.136223,2024-02-23 21:33:28.136223,9804,6774,857
110,2023-07-08 01:24:18.451738,2023-07-08 15:24:18.451738,3759,9380,413
111,2023-06-14 09:44:31.109327,2023-06-15 17:44:31.109327,9148,1584,2485
112,2024-04-16 21:29:03.944594,2024-04-17 10:29:03.944594,5274,6685,3965
113,2023-07-18 20:39:27.121166,2023-07-19 06:39:27.121166,2194,7378,310
114,2024-01-07 16:52:54.153228,2024-01-08 13:52:54.153228,8810,3239,2021
115,2023-10-08 22:25:09.304121,2023-10-09 07:25:09.304121,9884,3451,158
116,2023-09-12 08:16:17.163244,2023-09-14 20:16:17.163244,7676,4507,3911
117,2023-08-12 05:52:58.143656,2023-08-13 22:52:58.143656,9459,7056,4488
118,2024-03-30 06:27:29.358182,2024-03-30 14:27:29.358182,632,7817,723
119,2024-05-25 20:45:53.841787,2024-05-27 22:45:53.841787,5921,6606,1613
120,2023-09-21 16:42:28.275891,2023-09-23 20:42:28.275891,8495,4545,3610
121,2023-07-12 17:22:04.263386,2023-07-13 15:22:04.263386,1858,2022,4436
122,2024-01-18 13:15:13.584369,2024-01-19 12:15:13.584369,5921,6386,14
123,2024-01-17 22:21:21.855619,2024-01-20 00:21:21.855619,1573,9980,7991
124,2024-05-24 11:37:32.875668,2024-05-25 01:37:32.875668,5360,5795,4214
125,2023-08-11 18:44:43.338825,2023-08-14 18:44:43.338825,33,1913,7253
126,2023-10-31 17:42:29.570173,2023-11-01 02:42:29.570173,7878,5979,9384
127,2024-01-31 13:57:56.591768,2024-01-31 14:57:56.591768,4329,3505,6923
128,2024-01-07 17:02:46.648157,2024-01-08 02:02:46.648157,2996,1042,8843
129,2023-12-28 21:35:32.045224,2023-12-30 14:35:32.045224,8481,5865,381
130,2024-02-01 03:22:43.965436,2024-02-02 12:22:43.965436,1867,669,7936
131,2023-06-27 01:03:53.045974,2023-06-27 16:03:53.045974,648,4609,6564
132,2024-03-25 03:41:43.794459,2024-03-28 01:41:43.794459,8614,6749,3465
133,2023-10-09 20:40:17.237709,2023-10-10 21:40:17.237709,3123,8083,9766
134,2024-05-17 22:57:29.401645,2024-05-19 19:57:29.401645,6074,871,7162
135,2023-09-26 21:44:21.359203,2023-09-29 18:44:21.359203,2989,2915,7909
136,2024-04-01 23:12:23.488790,2024-04-04 10:12:23.488790,5686,5328,649
137,2024-05-24 06:22:38.816159,2024-05-26 03:22:38.816159,89,3131,4847
138,2024-05-28 19:24:26.023234,2024-05-30 01:24:26.023234,4673,7525,8795
139,2023-11-10 19:22:20.351095,2023-11-13 02:22:20.351095,4249,4029,7525
140,2023-11-01 08:05:49.574488,2023-11-02 19:05:49.574488,607,736,3443
141,2023-11-29 11:22:47.471058,2023-11-30 18:22:47.471058,5929,5678,8891
142,2023-07-27 07:42:00.128560,2023-07-29 17:42:00.128560,364,4346,5252
143,2024-03-28 12:30:54.638122,2024-03-28 18:30:54.638122,5329,3006,4043
144,2023-07-17 15:59:46.079308,2023-07-19 04:59:46.079308,6611,2059,5059
145,2023-08-06 20:06:28.142579,2023-08-07 15:06:28.142579,8723,1820,7154
146,2024-02-15 06:33:16.116241,2024-02-17 08:33:16.116241,6313,660,4057
147,2023-11-27 00:21:24.271171,2023-11-28 15:21:24.271171,7655,939,963
148,2023-10-27 23:36:40.110781,2023-10-30 22:36:40.110781,7731,9189,4996
149,2023-11-09 23:52:38.876368,2023-11-10 02:52:38.876368,4689,498,7488
150,2023-08-18 07:47:49.550670,2023-08-21 00:47:49.550670,1210,8268,6316
151,2024-04-13 09:51:51.628666,2024-04-14 10:51:51.628666,6666,7664,8645
152,2024-02-28 11:06:38.454145,2024-03-01 14:06:38.454145,2085,4476,9057
153,2023-10-19 10:39:53.618872,2023-10-21 15:39:53.618872,6676,8321,9428
154,2024-01-20 04:25:09.456604,2024-01-21 15:25:09.456604,7926,3118,6454
155,2023-10-15 12:47:00.872278,2023-10-17 09:47:00.872278,7609,8205,213
156,2023-10-05 09:39:08.282517,2023-10-06 16:39:08.282517,2346,8998,320
157,2024-05-22 06:15:37.824539,2024-05-24 05:15:37.824539,752,8157,2432
158,2024-03-30 13:25:08.782013,2024-03-31 06:25:08.782013,9080,8613,7438
159,2023-12-27 10:58:28.229277,2023-12-29 10:58:28.229277,3471,5268,2009
160,2024-04-30 14:03:25.734285,2024-05-01 12:03:25.734285,6217,3777,7545
161,2024-04-24 18:13:12.313131,2024-04-27 09:13:12.313131,9497,2519,2104
162,2024-05-06 13:01:50.206567,2024-05-09 07:01:50.206567,8612,7140,4773
163,2023-06-25 14:13:13.381963,2023-06-26 23:13:13.381963,9387,6934,3117
164,2023-09-17 11:11:31.987095,2023-09-19 04:11:31.987095,3289,8636,4774
165,2023-12-07 18:10:32.314845,2023-12-09 18:10:32.314845,899,1539,6561
166,2024-01-12 01:15:36.321111,2024-01-12 22:15:36.321111,3289,8788,7176
167,2023-10-07 11:41:17.595852,2023-10-10 07:41:17.595852,3667,3421,8250
168,2024-03-13 12:13:53.658276,2024-03-14 06:13:53.658276,3402,7585,662
169,2024-02-29 03:17:01.278855,2024-03-02 04:17:01.278855,8069,4916,4417
170,2023-06-25 05:30:34.536660,2023-06-28 05:30:34.536660,6112,611,6099
171,2024-04-10 02:40:26.004013,2024-04-12 15:40:26.004013,2031,8905,2943
172,2024-04-22 11:10:07.624758,2024-04-23 00:10:07.624758,2299,7121,7580
173,2024-01-22 14:54:20.835502,2024-01-22 18:54:20.835502,6813,3014,8674
174,2024-02-16 00:21:56.808573,2024-02-17 09:21:56.808573,4052,1483,3811
175,2023-10-02 10:56:35.104586,2023-10-02 11:56:35.104586,1921,2715,3181
176,2024-01-31 22:56:37.138657,2024-02-02 17:56:37.138657,4979,2709,6033
177,2024-04-02 03:06:18.765134,2024-04-02 19:06:18.765134,4126,4106,8837
178,2023-12-14 08:15:38.636918,2023-12-14 11:15:38.636918,7225,3369,7873
179,2024-05-30 04:31:24.163525,2024-05-30 17:31:24.163525,6330,7616,3338
180,2024-02-14 05:44:59.998336,2024-02-15 05:44:59.998336,5461,4606,6840
181,2024-06-04 06:58:34.477015,2024-06-05 13:58:34.477015,5497,2559,4011
182,2023-06-21 00:20:50.879818,2023-06-22 13:20:50.879818,5613,3068,8965
183,2024-02-13 17:22:03.968860,2024-02-14 14:22:03.968860,2067,354,6704
184,2023-12-12 02:06:23.654915,2023-12-12 14:06:23.654915,6391,534,708
185,2023-12-20 16:13:23.121820,2023-12-23 07:13:23.121820,2175,9300,5793
186,2024-05-18 14:24:45.541648,2024-05-18 23:24:45.541648,1552,6330,1668
187,2023-06-21 07:23:15.493399,2023-06-23 06:23:15.493399,4633,4505,793
188,2024-01-11 20:23:47.273681,2024-01-14 01:23:47.273681,9984,8838,2152
189,2024-03-05 18:30:17.285101,2024-03-05 21:30:17.285101,9785,6919,8668
190,2024-01-21 14:22:58.451947,2024-01-22 16:22:58.451947,8735,4767,5547
191,2024-02-24 03:31:10.199523,2024-02-26 18:31:10.199523,351,1819,3606
192,2023-10-04 14:22:20.004836,2023-10-06 23:22:20.004836,6087,9085,4843
193,2024-03-18 20:19:30.046201,2024-03-21 05:19:30.046201,3011,5571,7855
194,2023-06-24 09:09:22.280961,2023-06-26 03:09:22.280961,2844,8990,7785
195,2023-11-13 02:25:21.548785,2023-11-15 10:25:21.548785,755,3675,646
196,2024-03-27 06:25:43.638153,2024-03-30 04:25:43.638153,4149,4969,2014
197,2024-03-20 17:29:34.091534,2024-03-22 14:29:34.091534,9657,4206,8280
198,2023-10-25 11:26:44.303570,2023-10-27 14:26:44.303570,4208,3972,3030
199,2023-07-26 12:09:32.864902,2023-07-29 04:09:32.864902,5766,4910,3498
200,2023-10-03 05:53:04.236658,2023-10-05 15:53:04.236658,4856,8334,5083
201,2023-07-02 12:16:38.492136,2023-07-05 08:16:38.492136,944,5462,16
202,2023-10-22 14:12:44.314140,2023-10-23 05:12:44.314140,7721,9057,4846
203,2023-09-29 19:42:11.912568,2023-10-01 23:42:11.912568,2291,8220,8965
204,2023-12-12 20:01:08.450039,2023-12-12 23:01:08.450039,7075,9822,9697
205,2024-04-29 13:46:46.936519,2024-05-01 10:46:46.936519,262,8796,7097
206,2023-11-28 04:43:51.160208,2023-11-28 20:43:51.160208,3471,8152,2276
207,2023-07-02 08:10:10.246928,2023-07-04 14:10:10.246928,7663,7029,1836
208,2023-09-13 11:55:21.808598,2023-09-16 09:55:21.808598,4175,5061,9694
209,2024-05-08 23:45:46.104739,2024-05-09 19:45:46.104739,3338,2900,4568
210,2023-06-16 15:25:15.492808,2023-06-19 09:25:15.492808,4083,2226,4292
211,2023-08-09 04:11:57.547100,2023-08-11 10:11:57.547100,9775,9503,6227
212,2024-05-02 02:08:14.719257,2024-05-03 01:08:14.719257,9192,3824,8328
213,2024-05-17 03:43:04.319766,2024-05-19 12:43:04.319766,9879,8236,319
214,2023-08-30 18:49:12.618700,2023-08-31 23:49:12.618700,5648,7138,8759
215,2023-11-08 05:23:12.835490,2023-11-11 05:23:12.835490,5186,503,402
216,2023-11-19 11:11:44.094097,2023-11-20 19:11:44.094097,2965,7056,8819
217,2024-02-16 12:21:27.919635,2024-02-19 03:21:27.919635,7940,6604,5570
218,2023-07-10 17:10:20.666485,2023-07-11 11:10:20.666485,9626,412,8252
219,2024-02-15 14:20:31.025275,2024-02-18 11:20:31.025275,2157,9676,9316
220,2024-03-07 05:59:03.967804,2024-03-07 15:59:03.967804,3278,6866,4415
221,2024-05-16 17:49:41.168725,2024-05-16 19:49:41.168725,878,8615,7330
222,2023-09-04 10:58:22.912235,2023-09-07 04:58:22.912235,6588,1080,87
223,2024-05-11 21:24:28.192561,2024-05-12 19:24:28.192561,6005,7474,9598
224,2023-09-25 04:32:17.751076,2023-09-25 20:32:17.751076,1673,4338,2163
225,2024-01-07 13:31:54.611472,2024-01-08 02:31:54.611472,2749,992,6740
226,2024-01-13 00:39:36.194449,2024-01-14 00:39:36.194449,1482,8983,7914
227,2023-07-26 11:42:53.701666,2023-07-26 23:42:53.701666,1984,9438,1814
228,2024-02-05 20:25:25.941683,2024-02-06 13:25:25.941683,2699,4335,5546
229,2023-07-09 23:36:26.020947,2023-07-10 01:36:26.020947,6443,7594,4708
230,2023-09-28 11:27:48.811771,2023-10-01 10:27:48.811771,3082,5857,6934
231,2024-05-01 18:28:01.865071,2024-05-01 20:28:01.865071,50,9943,3431
232,2024-02-03 03:01:18.936928,2024-02-04 23:01:18.936928,3709,8943,7323
233,2024-01-31 17:36:35.418575,2024-02-01 05:36:35.418575,4999,9542,9032
234,2024-03-25 17:32:45.517574,2024-03-27 07:32:45.517574,7021,7014,4402
235,2024-03-08 00:49:46.474581,2024-03-09 06:49:46.474581,9528,2095,2435
236,2023-08-23 21:03:23.394532,2023-08-24 10:03:23.394532,5133,4825,9049
237,2024-03-31 14:13:47.139959,2024-03-31 17:13:47.139959,1896,9114,5135
238,2023-07-02 10:22:49.699989,2023-07-02 16:22:49.699989,7388,608,3654
239,2023-12-23 05:15:07.673982,2023-12-25 12:15:07.673982,8204,8647,1786
240,2024-03-23 07:44:25.647731,2024-03-24 19:44:25.647731,5176,8263,6610
241,2024-05-09 01:14:33.999204,2024-05-10 23:14:33.999204,7856,4205,5679
242,2023-11-19 13:40:17.740116,2023-11-22 12:40:17.740116,3359,8856,4794
243,2024-04-30 09:25:05.344659,2024-04-30 17:25:05.344659,6530,3389,8552
244,2024-03-28 17:50:21.697311,2024-03-28 19:50:21.697311,5120,6887,4404
245,2023-08-15 23:19:16.130636,2023-08-17 17:19:16.130636,2270,6264,5163
246,2023-07-29 12:00:33.230307,2023-07-29 16:00:33.230307,8173,9772,4465
247,2024-02-17 17:31:25.270175,2024-02-19 01:31:25.270175,8195,2388,8102
248,2023-10-16 07:43:54.586041,2023-10-16 18:43:54.586041,8932,4701,4005
249,2024-01-28 01:53:43.458667,2024-01-28 05:53:43.458667,8668,4030,1524
250,2023-07-14 07:40:37.430234,2023-07-17 04:40:37.430234,8567,7718,8631
251,2024-03-28 23:30:16.783367,2024-03-30 19:30:16.783367,7242,1216,5409
252,2024-05-17 19:53:40.152444,2024-05-20 06:53:40.152444,4347,7495,5709
253,2023-07-07 07:31:06.900922,2023-07-09 21:31:06.900922,1261,3458,5742
254,2023-07-27 04:38:53.991311,2023-07-29 16:38:53.991311,4270,4948,3026
255,2023-11-26 16:09:31.613884,2023-11-28 14:09:31.613884,6189,4217,9381
256,2024-01-05 09:45:59.869473,2024-01-07 16:45:59.869473,5092,1381,1132
257,2024-03-13 00:11:47.028416,2024-03-13 11:11:47.028416,7895,8483,5439
258,2023-06-10 05:21:55.248041,2023-06-13 03:21:55.248041,9675,7749,1760
259,2023-09-04 15:22:52.060497,2023-09-05 05:22:52.060497,4432,7015,3404
260,2024-02-20 03:42:48.540829,2024-02-22 12:42:48.540829,4415,8467,4930
261,2024-03-29 16:46:48.223959,2024-03-31 04:46:48.223959,6045,7284,8921
262,2023-07-29 20:02:21.566084,2023-08-01 17:02:21.566084,2963,6496,1914
263,2024-02-21 06:13:01.323991,2024-02-23 05:13:01.323991,2104,7539,588
264,2023-10-26 19:27:13.093578,2023-10-28 02:27:13.093578,6887,2505,904
265,2024-01-11 08:18:38.229265,2024-01-12 07:18:38.229265,6613,3012,7565
266,2023-10-04 22:44:39.089662,2023-10-05 16:44:39.089662,3972,4198,8147
267,2023-10-25 04:09:20.029433,2023-10-28 02:09:20.029433,2093,874,4608
268,2024-01-21 13:24:45.014020,2024-01-23 10:24:45.014020,5442,4926,9448
269,2024-02-14 15:46:41.333019,2024-02-14 21:46:41.333019,2088,440,3164
270,2023-12-13 09:54:49.769049,2023-12-14 06:54:49.769049,1463,2073,4426
271,2023-06-09 09:11:07.512983,2023-06-11 15:11:07.512983,3999,7169,8391
272,2023-11-18 07:18:31.809459,2023-11-18 14:18:31.809459,7510,4759,7177
273,2023-11-09 15:11:59.383314,2023-11-12 13:11:59.383314,463,1364,8881
274,2023-06-20 21:18:09.621729,2023-06-22 03:18:09.621729,2704,6618,198
275,2024-02-24 12:25:12.055443,2024-02-26 13:25:12.055443,4323,6110,2135
276,2023-07-12 19:10:35.185343,2023-07-15 12:10:35.185343,1406,6418,3094
277,2023-09-30 00:23:50.853081,2023-09-30 03:23:50.853081,1815,8478,327
278,2023-10-21 03:50:29.943844,2023-10-21 09:50:29.943844,4278,6409,7894
279,2023-08-19 00:39:18.907960,2023-08-19 15:39:18.907960,9275,8363,9513
280,2023-08-08 17:42:49.256011,2023-08-09 07:42:49.256011,6802,2591,6880
281,2024-03-13 15:50:07.505236,2024-03-15 14:50:07.505236,7753,2218,651
282,2023-12-23 11:47:32.411113,2023-12-24 08:47:32.411113,6841,2243,4525
283,2023-09-26 00:03:12.378393,2023-09-27 11:03:12.378393,5456,5873,1964
284,2024-02-26 19:58:57.128784,2024-02-27 10:58:57.128784,6399,2642,7822
285,2023-12-05 03:55:56.122240,2023-12-05 06:55:56.122240,3573,8362,4632
286,2023-10-12 12:25:21.569941,2023-10-14 13:25:21.569941,3893,8213,3120
287,2024-05-13 05:58:28.521699,2024-05-14 06:58:28.521699,3693,6783,7326
288,2023-12-24 23:42:01.396743,2023-12-25 15:42:01.396743,525,4523,4728
289,2024-05-02 12:57:04.874446,2024-05-02 13:57:04.874446,4625,1033,5367
290,2023-12-26 12:27:01.033382,2023-12-28 17:27:01.033382,573,8502,803
291,2024-01-29 02:26:25.593522,2024-01-29 21:26:25.593522,6592,2935,1667
292,2024-01-02 23:36:03.167061,2024-01-04 12:36:03.167061,5414,8564,5808
293,2024-01-28 22:24:37.316143,2024-01-30 07:24:37.316143,2818,1891,2056
294,2024-05-09 23:48:34.948558,2024-05-10 02:48:34.948558,8719,4673,7388
295,2024-02-17 22:22:09.156555,2024-02-20 21:22:09.156555,4647,4828,9368
296,2023-11-09 21:24:53.794030,2023-11-12 08:24:53.794030,418,5488,652
297,2023-11-17 21:15:56.131027,2023-11-20 12:15:56.131027,4786,5282,4123
298,2024-04-04 06:22:18.559317,2024-04-05 16:22:18.559317,5437,7322,4132
299,2024-05-13 01:50:16.975109,2024-05-14 05:50:16.975109,1363,492,4276
300,2023-10-27 01:02:23.268438,2023-10-27 20:02:23.268438,8881,9584,8043
301,2023-12-19 17:01:02.184800,2023-12-22 04:01:02.184800,6555,7863,2483
302,2024-03-29 13:33:55.271903,2024-03-31 15:33:55.271903,1857,8740,7038
303,2024-02-22 14:51:42.467758,2024-02-23 23:51:42.467758,3195,8774,2962
304,2024-03-03 01:36:24.736547,2024-03-05 06:36:24.736547,4249,7199,8984
305,2024-02-02 09:01:54.229290,2024-02-04 15:01:54.229290,315,5735,3553
306,2023-12-21 12:54:28.267698,2023-12-22 00:54:28.267698,2803,7913,5416
307,2023-10-22 10:01:40.576477,2023-10-22 12:01:40.576477,1284,2317,8400
308,2023-09-23 17:22:28.455307,2023-09-25 15:22:28.455307,6189,1715,9008
309,2023-07-27 21:55:22.579887,2023-07-28 01:55:22.579887,6822,1483,6503
310,2024-04-03 09:32:13.328408,2024-04-05 06:32:13.328408,6576,1010,2807
311,2024-05-26 19:48:30.031125,2024-05-27 21:48:30.031125,2133,1408,8601
312,2024-01-02 10:40:17.010033,2024-01-04 21:40:17.010033,7683,9287,9980
313,2024-02-02 22:04:59.912544,2024-02-03 03:04:59.912544,5329,3279,9547
314,2023-07-01 02:38:09.777240,2023-07-03 01:38:09.777240,5697,3060,8926
315,2023-06-12 08:22:46.572174,2023-06-13 08:22:46.572174,9689,6299,4105
316,2024-01-10 05:07:28.736873,2024-01-11 23:07:28.736873,7690,5373,1224
317,2024-03-12 23:08:34.442176,2024-03-14 07:08:34.442176,7865,5106,4563
318,2023-06-18 13:15:42.666303,2023-06-21 05:15:42.666303,6486,8728,9178
319,2024-05-21 18:58:19.622000,2024-05-22 06:58:19.622000,4621,3788,324
320,2024-02-13 18:21:36.407055,2024-02-16 05:21:36.407055,4847,5989,1022
321,2024-03-13 09:14:52.297800,2024-03-15 03:14:52.297800,9681,1675,9308
322,2023-09-20 01:42:28.336547,2023-09-21 19:42:28.336547,9648,304,9613
323,2024-04-26 11:52:31.579009,2024-04-29 05:52:31.579009,6236,4299,5186
324,2023-07-31 14:39:33.786301,2023-08-02 04:39:33.786301,5756,8699,4962
325,2024-03-30 12:33:59.391679,2024-03-30 18:33:59.391679,2245,9992,9725
